year,university,sector_desc,sector_cd,noncampus_murd,noncampus_neg_m,noncampus_rape,noncampus_fondl,noncampus_inces,noncampus_statr,noncampus_robbe,noncampus_agg_a,noncampus_burgla,noncampus_vehic,noncampus_arson,oncampus_murd,oncampus_neg_m,oncampus_rape,oncampus_fondl,oncampus_inces,oncampus_statr,oncampus_robbe,oncampus_agg_a,oncampus_burgla,oncampus_vehic,oncampus_arson,publicproperty_murd,publicproperty_neg_m,publicproperty_rape,publicproperty_fondl,publicproperty_inces,publicproperty_statr,publicproperty_robbe,publicproperty_agg_a,publicproperty_burgla,publicproperty_vehic,publicproperty_arson,reported_murd,reported_neg_m,reported_rape,reported_fondl,reported_inces,reported_statr,reported_robbe,reported_agg_a,reported_burgla,reported_vehic,reported_arson,residencehall_murd,residencehall_neg_m,residencehall_rape,residencehall_fondl,residencehall_inces,residencehall_statr,residencehall_robbe,residencehall_agg_a,residencehall_burgla,residencehall_vehic,residencehall_arson
2018,University of Kentucky,"Public, 4-year or above",1,0,0,2,0,0,0,0,0,0,3,0,0,0,21,22,0,0,0,5,21,16,1,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,2,2,0,1
2018,University of Louisiana at Lafayette,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,19,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
2018,University of Michigan-Ann Arbor,"Public, 4-year or above",1,0,0,2,1,0,0,0,3,0,0,0,0,0,43,30,0,0,3,19,15,7,4,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,9,0,1
2018,University of Mississippi,"Public, 4-year or above",1,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,0,0,4,2,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0
2018,University of Missouri-Columbia,"Public, 4-year or above",1,0,0,4,1,0,0,0,2,3,3,0,0,0,6,12,0,0,0,2,5,15,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
2018,University of Nebraska-Lincoln,"Public, 4-year or above",1,0,0,0,0,0,0,2,1,14,2,0,0,0,16,8,0,0,0,8,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,2,6,0,0
2018,University of Nevada-Reno,"Public, 4-year or above",1,0,0,0,1,0,0,1,0,5,1,0,0,0,14,5,0,0,0,1,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,2,0,0
2018,University of New Mexico-Main Campus,"Public, 4-year or above",1,0,0,0,2,0,0,0,1,1,4,0,0,0,24,11,0,0,5,10,35,130,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,1,9,0,0
2018,University of Pittsburgh-Pittsburgh Campus,"Public, 4-year or above",1,0,0,0,1,0,0,0,0,1,0,0,0,0,6,5,0,0,0,4,4,3,0,0,0,0,1,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,3,0,0
2018,University of South Carolina-Columbia,"Public, 4-year or above",1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,5,0,0,0,3,15,21,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,5,0,1
2018,University of Southern California,"Private nonprofit, 4-year or above",2,0,0,11,5,0,0,1,2,14,2,1,0,0,114,28,0,1,6,4,21,2,0,0,0,0,4,0,0,14,8,0,1,1,0,0,3,1,0,0,17,15,5,21,0,0,0,9,8,0,1,1,0,9,0,0
2018,University of Vermont,"Public, 4-year or above",1,0,0,5,1,0,0,2,0,3,0,0,0,0,22,9,0,0,0,0,11,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,0,0,0,0,8,0,0
2018,University of Virginia-Main Campus,"Public, 4-year or above",1,0,0,0,0,0,0,1,2,2,2,0,0,0,28,16,0,0,0,6,14,6,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,2,8,0,0
2018,University of Wisconsin-Madison,"Public, 4-year or above",1,0,0,4,1,0,0,0,15,5,2,0,0,0,13,13,0,0,3,11,43,1,1,0,0,0,2,0,0,6,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,3,15,0,0
2018,Washington State University,"Public, 4-year or above",1,0,0,10,1,0,0,0,0,0,4,0,0,0,27,8,0,0,1,2,11,12,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,0,0,0,5,0,0
2018,West Virginia University,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,5,0,0,0,0,7,1,0,0,3,2,13,3,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,2,10,0,0
2019,Albany State University,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2019,Arkansas State University-Main Campus,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,5,0,0
2019,Ball State University,"Public, 4-year or above",1,0,0,3,0,0,0,0,1,1,0,0,0,0,9,10,0,0,1,1,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,1,1,11,0,0
2019,California Polytechnic State University-San Luis Obispo,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,2,0,0
2019,California State University-Chico,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,2,1,3,2,6,1,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,0,3,1,0,0
2019,Clemson University,"Public, 4-year or above",1,0,0,2,0,0,0,0,1,1,1,0,0,0,6,0,0,0,0,0,7,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
2019,College of Charleston,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,1,0,0,0
2019,Delaware State University,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,4,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,7,6,0,0
2019,DePauw University,"Private nonprofit, 4-year or above",2,0,0,2,4,0,0,0,2,1,0,1,0,0,5,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0
2019,East Carolina University,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,0,0,3,3,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,0,0,0,2,5,0,0
2019,Emory University,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,0,0,1,1,0,0,0,15,6,0,0,4,1,22,8,2,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,8,0,1
2019,Ferrum College,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0
2019,Florida Atlantic University,"Public, 4-year or above",1,0,0,1,0,0,0,0,1,0,0,0,0,0,11,9,0,0,2,8,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,7,0,0
2019,Florida International University,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,4,4,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,3,4,7,0,1
2019,Florida State University,"Public, 4-year or above",1,0,0,2,0,0,0,1,0,6,0,0,0,0,1,0,0,0,9,0,28,22,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
2019,Hampden-Sydney College,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0
2019,Indiana University-Bloomington,"Public, 4-year or above",1,0,0,2,0,0,0,1,2,6,2,0,0,0,19,5,0,0,0,6,17,12,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,3,9,0,3
2019,James Madison University,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,1,7,0,1
2019,Louisiana State University and Agricultural & Mechanical College,"Public, 4-year or above",1,2,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,3,3,33,14,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,25,0,1
2019,Marshall University,"Public, 4-year or above",1,0,0,0,0,0,0,1,1,4,1,0,0,0,5,1,0,0,1,2,4,1,0,0,0,2,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0
2019,Michigan State University,"Public, 4-year or above",1,0,0,11,2,0,0,1,1,6,11,0,0,0,29,82,0,0,0,9,63,35,0,0,0,0,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,3,46,0,0
2019,Monmouth University,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0
2019,Murray State University,"Public, 4-year or above",1,0,0,0,0,0,0,0,1,1,0,0,0,0,7,5,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,3,0,0
2019,North Carolina Central University,"Public, 4-year or above",1,0,0,0,0,0,0,0,1,0,0,0,0,0,13,2,0,0,2,5,11,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,2,3,10,0,2
2019,North Carolina State University at Raleigh,"Public, 4-year or above",1,0,0,0,0,0,0,3,0,2,0,0,0,0,14,4,0,0,5,5,18,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,1,9,0,1
2019,Ohio State University-Main Campus,"Public, 4-year or above",1,0,0,14,8,0,0,2,16,22,8,0,1,0,215,1252,0,0,5,23,71,11,7,1,0,0,0,0,0,4,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,18,0,0,0,8,34,0,3
2019,Ohio University-Main Campus,"Public, 4-year or above",1,0,0,1,0,0,0,0,0,0,0,0,0,0,24,11,0,0,1,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,0,0,0,2,1,0,0
2019,Prairie View A & M University,"Public, 4-year or above",1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,5,27,60,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,9,52,0,0
2019,Rollins College,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,2,8,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,20
2019,Rutgers University-New Brunswick,"Public, 4-year or above",1,0,0,2,1,0,0,0,0,0,1,0,0,0,25,12,0,0,3,12,31,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,0,3,4,11,0,0
2019,San Diego State University,"Public, 4-year or above",1,0,0,0,3,0,0,2,1,3,2,0,0,0,7,2,0,0,3,4,23,12,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,1,11,0,3
2019,Southern Methodist University,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,2,0,0,0,0,0,0,7,3,0,0,2,2,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0
2019,SUNY at Albany,"Public, 4-year or above",1,0,0,1,0,0,0,0,0,0,0,0,0,0,19,9,0,0,1,2,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,7,0,1
2019,Syracuse University,"Private nonprofit, 4-year or above",2,0,0,1,1,0,0,0,4,4,2,0,0,0,10,5,0,0,2,2,7,3,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,1,6,0,0
2019,Texas A & M University-College Station,"Public, 4-year or above",1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,31,0,0,7,14,43,33,1,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,0,0,1,3,19,1,1
2019,Texas Christian University,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,2,0,14,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,5,0,1
2019,Texas State University,"Public, 4-year or above",1,0,0,0,4,0,0,0,0,0,0,0,0,0,28,8,0,0,4,7,40,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,2,4,28,0,0
2019,The University of Texas at Austin,"Public, 4-year or above",1,0,0,3,0,0,1,1,2,3,6,0,0,1,18,4,0,0,2,10,17,6,0,0,0,2,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,1,1,4,0,0
2019,Tufts University,"Private nonprofit, 4-year or above",2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,7,0,0,1,8,3,3,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,1,1,0,1
2019,University at Buffalo,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,1,1,2,17,1,6,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,2,8,0,4
2019,University of Arizona,"Public, 4-year or above",1,0,0,3,1,0,0,0,0,15,2,0,0,0,37,9,0,0,3,6,47,5,2,0,0,0,0,0,0,2,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,21,0,0
2019,University of Arkansas,"Public, 4-year or above",1,0,0,2,1,0,0,0,0,5,8,0,0,0,9,4,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0
2019,University of California-Berkeley,"Public, 4-year or above",1,0,0,13,3,0,0,1,4,29,12,0,1,0,21,10,0,0,28,19,69,89,1,0,0,0,3,0,0,19,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,2,2,15,0,0
2019,University of California-Irvine,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,0,1,0,1,16,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,1,0,1,11,0,0
2019,University of California-Riverside,"Public, 4-year or above",1,0,0,1,0,0,0,1,0,0,1,0,0,0,9,3,0,1,3,1,30,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,1,7,0,0
2019,University of California-Santa Barbara,"Public, 4-year or above",1,0,0,5,1,0,0,0,4,0,0,0,0,0,18,12,0,0,2,7,17,3,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,2,10,0,0
2019,University of Central Florida,"Public, 4-year or above",1,0,0,1,0,0,0,0,0,3,6,0,0,0,20,19,0,0,1,9,34,15,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,1,10,0,0
2019,University of Delaware,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,2,0,0,1,0,5,6,0,1,0,2,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,1,0,1,4,0,1
2019,University of Idaho,"Public, 4-year or above",1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,University of Illinois at Urbana-Champaign,"Public, 4-year or above",1,0,0,9,3,0,0,1,2,10,1,0,0,0,19,9,0,2,2,6,16,2,5,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,3,6,0,4
2019,University of Iowa,"Public, 4-year or above",1,0,0,18,8,0,0,1,2,1,0,0,0,0,27,22,0,0,2,28,13,3,0,0,0,5,4,0,0,5,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,4,5,0,0
2019,University of Kansas,"Public, 4-year or above",1,0,0,9,2,0,0,0,2,2,0,0,0,0,12,8,0,0,2,25,11,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,2,5,0,1
2019,University of Kentucky,"Public, 4-year or above",1,0,0,0,1,0,0,0,0,0,0,0,0,0,24,26,0,0,2,3,20,13,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,0,0,0,3,0,0
2019,University of Louisiana at Lafayette,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0
2019,University of Michigan-Ann Arbor,"Public, 4-year or above",1,0,0,4,9,0,0,0,2,3,0,0,0,0,19,25,0,0,1,9,6,7,4,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,2,1,0,2
2019,University of Mississippi,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2019,University of Missouri-Columbia,"Public, 4-year or above",1,0,0,7,2,0,0,1,2,6,1,1,0,0,12,8,0,0,0,2,9,15,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,1
2019,University of Nebraska-Lincoln,"Public, 4-year or above",1,0,0,2,1,0,0,0,0,3,2,0,0,0,13,1,0,0,0,4,5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0
2019,University of Nevada-Reno,"Public, 4-year or above",1,0,0,1,0,0,0,0,0,1,0,0,0,0,6,3,0,0,1,1,8,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,2,1,0
2019,University of New Mexico-Main Campus,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,0,0,2,17,50,76,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,2,15,0,1
2019,University of Pittsburgh-Pittsburgh Campus,"Public, 4-year or above",1,0,0,1,2,0,0,0,0,2,1,0,0,0,11,3,0,0,1,2,14,1,0,0,0,1,0,0,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,2,10,0,0
2019,University of South Carolina-Columbia,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,1,0,14,15,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,0,0
2019,University of Southern California,"Private nonprofit, 4-year or above",2,0,0,8,5,0,0,1,1,26,1,0,0,0,34,33,0,0,11,13,35,34,5,0,0,0,3,0,0,12,5,0,1,0,0,0,11,10,0,0,16,7,9,4,0,0,0,9,2,0,0,1,4,19,5,1
2019,University of Vermont,"Public, 4-year or above",1,0,0,2,0,0,0,0,0,3,0,0,0,0,16,6,0,0,0,2,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,5,0,0
2019,University of Virginia-Main Campus,"Public, 4-year or above",1,0,0,4,3,0,0,0,0,5,0,0,0,0,13,5,0,0,0,7,9,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,3,0,0
2019,University of Wisconsin-Madison,"Public, 4-year or above",1,0,0,0,2,0,0,2,13,7,7,0,0,0,11,9,0,0,4,6,67,2,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,2,10,0,0
2019,Washington State University,"Public, 4-year or above",1,0,0,8,0,0,0,0,1,3,0,0,0,0,12,1,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,6,0,0
2019,West Virginia University,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,4,0,0,0,0,13,7,0,0,1,3,14,2,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,2,4,0,0
