year,university,liquor_violations_offcampus,liquor_violations_campus,liquor_violations_reshall,liquor_violations_publicprop,drug_violations_offcampus,drug_violations_campus,drug_violations_reshall,drug_violations_publicprop,liquor_violation_total_cl,drug_violation_total_cl
2013,Arkansas State University-Main Campus,0,101,78,7,0,30,21,5,186,56
2013,Ball State University,0,485,485,0,0,8,8,0,970,16
2013,California Polytechnic State University-San Luis Obispo,2,0,0,0,0,5,2,1,2,8
2013,California State University-Northridge,0,207,147,0,0,210,185,0,354,395
2013,Clemson University,1,402,391,0,2,60,55,0,794,117
2013,College of Charleston,0,205,203,0,0,53,53,0,408,106
2013,East Carolina University,5,609,554,40,9,80,74,6,1208,169
2013,Emory University,0,289,268,0,0,36,30,0,557,66
2013,Florida Atlantic University,1,245,238,0,0,63,55,0,484,118
2013,Florida International University,0,75,72,0,0,13,10,0,147,23
2013,Florida State University,0,142,142,0,0,17,10,0,284,27
2013,Indiana University-Bloomington,5,660,636,28,2,123,120,18,1329,263
2013,Louisiana State University and Agricultural & Mechanical College,0,0,0,0,0,24,22,0,0,46
2013,Marshall University,0,20,20,2,0,12,12,0,42,24
2013,Miami University-Oxford,3,322,321,1,0,18,18,0,647,36
2013,Monmouth University,1,100,97,2,7,20,13,0,200,40
2013,Murray State University,0,70,61,3,0,12,8,1,134,21
2013,North Carolina State University at Raleigh,22,456,372,1,3,62,44,3,851,112
2013,Northwestern University,3,269,249,8,2,36,27,0,529,65
2013,Ohio State University-Main Campus,0,1672,1640,0,0,423,398,0,3312,821
2013,Ohio University-Main Campus,0,426,422,0,0,78,74,0,848,152
2013,Pennsylvania State University-Main Campus,2,871,852,2,2,347,243,0,1727,592
2013,Rollins College,0,125,125,0,0,16,16,3,250,35
2013,Rutgers University-New Brunswick,0,694,694,0,0,0,0,0,1388,0
2013,San Diego State University,0,364,364,0,0,72,72,0,728,144
2013,Syracuse University,36,1258,1193,9,10,263,240,0,2496,513
2013,Texas State University,0,70,70,0,0,1,1,0,140,2
2013,The University of Texas at Arlington,0,24,23,1,0,14,14,0,48,28
2013,Tufts University,0,49,46,0,0,2,1,0,95,3
2013,University at Buffalo,0,481,469,5,0,287,199,2,955,488
2013,University of California-Berkeley,2,24,22,0,0,45,42,0,48,87
2013,University of Central Florida,11,102,79,2,2,102,68,2,194,174
2013,University of Idaho,0,146,146,0,0,2,2,0,292,4
2013,University of Iowa,5,593,580,2,0,11,10,0,1180,21
2013,University of Kansas,0,911,910,0,0,95,91,0,1821,186
2013,University of Michigan-Ann Arbor,1,1234,1215,6,0,153,153,0,2456,306
2013,University of Missouri-Columbia,0,728,728,0,0,0,0,0,1456,0
2013,University of New Mexico-Main Campus,0,281,280,0,0,73,69,0,561,142
2013,University of North Florida,0,92,82,0,0,130,104,0,174,234
2013,University of Pittsburgh-Pittsburgh Campus,1,290,288,2,0,50,50,6,581,106
2013,University of Vermont,17,1222,1132,45,3,673,627,6,2416,1309
2013,University of Virginia-Main Campus,2,581,525,3,0,20,2,0,1111,22
2013,Washington State University,0,442,384,0,0,117,97,2,826,216
2013,West Virginia University,0,1942,1884,0,0,273,230,0,3826,503
2014,Arkansas State University-Main Campus,0,109,87,7,0,31,20,0,203,51
2014,Ball State University,0,531,526,1,0,64,54,0,1058,118
2014,California Polytechnic State University-San Luis Obispo,4,133,120,0,1,39,30,0,257,70
2014,California State University-Northridge,0,263,262,0,0,175,161,0,525,336
2014,Clemson University,0,604,590,1,0,122,108,0,1195,230
2014,College of Charleston,0,166,164,0,0,62,62,0,330,124
2014,East Carolina University,7,727,674,21,10,175,172,13,1429,370
2014,Emory University,0,302,281,0,0,85,76,0,583,161
2014,Florida Atlantic University,2,392,340,0,0,81,50,0,734,131
2014,Florida International University,0,136,120,0,0,144,106,0,256,250
2014,Florida State University,0,270,270,4,0,6,6,1,544,13
2014,Indiana University-Bloomington,2,1215,1073,0,3,239,220,0,2290,462
2014,Louisiana State University and Agricultural & Mechanical College,0,15,0,0,0,32,23,0,15,55
2014,Marshall University,1,31,30,0,0,10,10,0,62,20
2014,Miami University-Oxford,0,398,396,0,0,28,25,0,794,53
2014,Monmouth University,0,142,139,0,4,31,24,0,281,59
2014,Murray State University,0,67,67,0,0,9,5,0,134,14
2014,North Carolina State University at Raleigh,11,440,357,3,0,57,33,0,811,90
2014,Northwestern University,5,415,395,3,0,81,79,1,818,161
2014,Ohio State University-Main Campus,1,1879,1825,0,0,307,247,0,3705,554
2014,Ohio University-Main Campus,0,684,684,0,3,115,115,0,1368,233
2014,Pennsylvania State University-Main Campus,1,740,719,1,0,304,219,0,1461,523
2014,Rollins College,0,97,96,0,0,10,10,0,193,20
2014,Rutgers University-New Brunswick,0,689,689,0,1,104,96,0,1378,201
2014,San Diego State University,0,0,0,0,0,272,272,0,0,544
2014,Syracuse University,4,900,833,14,0,87,82,0,1751,169
2014,Texas State University,0,51,51,0,1,3,2,0,102,6
2014,The University of Texas at Arlington,0,17,10,1,0,28,19,0,28,47
2014,Tufts University,0,81,78,0,0,1,0,0,159,1
2014,University at Buffalo,0,625,557,0,1,400,364,2,1182,767
2014,University of California-Berkeley,1,16,14,0,3,52,50,1,31,106
2014,University of Central Florida,23,233,134,8,17,166,102,7,398,292
2014,University of Idaho,2,148,138,8,0,23,22,2,296,47
2014,University of Iowa,1,663,662,0,0,18,17,0,1326,35
2014,University of Kansas,0,841,841,0,0,102,97,0,1682,199
2014,University of Michigan-Ann Arbor,1,1429,1413,0,0,147,144,0,2843,291
2014,University of Missouri-Columbia,1,1058,1058,0,0,0,0,1,2117,1
2014,University of New Mexico-Main Campus,0,281,281,0,0,138,135,0,562,273
2014,University of North Florida,0,144,134,0,0,73,68,0,278,141
2014,University of Pittsburgh-Pittsburgh Campus,0,284,281,5,0,29,28,9,570,66
2014,University of Vermont,5,667,613,41,0,344,315,2,1326,661
2014,University of Virginia-Main Campus,3,609,584,5,0,29,0,0,1201,29
2014,Washington State University,0,299,240,0,0,318,292,0,539,610
2014,West Virginia University,0,1495,1384,0,0,324,262,0,2879,586
2015,Arkansas State University-Main Campus,0,132,115,7,0,40,15,3,254,58
2015,Ball State University,2,414,412,0,0,82,78,1,828,161
2015,California Polytechnic State University-San Luis Obispo,0,327,325,0,0,22,4,0,652,26
2015,California State University-Northridge,0,250,242,0,0,172,169,0,492,341
2015,Clemson University,2,439,414,3,0,143,132,8,858,283
2015,College of Charleston,0,155,154,0,0,54,53,0,309,107
2015,East Carolina University,4,555,521,15,4,192,187,6,1095,389
2015,Emory University,0,294,291,0,0,55,49,0,585,104
2015,Florida Atlantic University,1,307,291,0,1,65,42,0,599,108
2015,Florida International University,0,232,230,0,0,80,68,0,462,148
2015,Florida State University,0,331,331,0,0,1,1,0,662,2
2015,Indiana University-Bloomington,0,1123,1109,0,3,218,211,0,2232,432
2015,Louisiana State University and Agricultural & Mechanical College,0,20,16,0,0,20,19,0,36,39
2015,Marshall University,0,40,40,0,0,12,12,0,80,24
2015,Miami University-Oxford,16,421,419,0,0,73,62,0,856,135
2015,Monmouth University,0,132,129,0,2,16,16,0,261,34
2015,Murray State University,0,51,49,0,0,4,3,0,100,7
2015,North Carolina State University at Raleigh,48,435,359,8,11,76,54,1,850,142
2015,Northwestern University,4,426,419,9,0,77,77,0,858,154
2015,Ohio State University-Main Campus,7,1614,1587,0,0,235,191,2,3208,428
2015,Ohio University-Main Campus,0,531,521,10,2,96,95,1,1062,194
2015,Pennsylvania State University-Main Campus,1,946,919,1,0,283,201,3,1867,487
2015,Rollins College,0,190,190,0,0,26,23,0,380,49
2015,Rutgers University-New Brunswick,0,878,876,5,0,138,129,0,1759,267
2015,San Diego State University,0,0,0,0,0,302,302,0,0,604
2015,Syracuse University,10,1020,981,6,1,124,120,2,2017,247
2015,Texas State University,0,54,54,0,0,3,3,0,108,6
2015,The University of Texas at Arlington,0,52,51,0,0,34,27,0,103,61
2015,Tufts University,0,101,99,0,1,2,1,0,200,4
2015,University at Buffalo,0,402,397,0,0,248,225,1,799,474
2015,University of California-Berkeley,0,15,12,0,0,67,63,1,27,131
2015,University of Central Florida,13,187,82,12,1,76,11,18,294,106
2015,University of Idaho,1,148,136,2,0,37,29,2,287,68
2015,University of Iowa,0,650,649,1,1,59,58,1,1300,119
2015,University of Kansas,0,702,702,0,0,91,86,0,1404,177
2015,University of Michigan-Ann Arbor,2,1629,1622,5,0,281,267,0,3258,548
2015,University of Missouri-Columbia,4,1031,1031,0,0,4,4,0,2066,8
2015,University of New Mexico-Main Campus,0,277,277,0,0,89,87,0,554,176
2015,University of North Florida,0,230,221,0,0,127,106,0,451,233
2015,University of Pittsburgh-Pittsburgh Campus,1,391,385,4,0,61,54,10,781,125
2015,University of Vermont,9,628,576,38,1,317,245,0,1251,563
2015,University of Virginia-Main Campus,27,533,517,1,0,2,0,0,1078,2
2015,Washington State University,0,273,204,0,0,335,249,0,477,584
2015,West Virginia University,0,1532,1433,34,0,210,187,1,2999,398
2016,Arkansas State University-Main Campus,0,116,72,2,0,15,8,0,190,23
2016,Ball State University,12,396,395,1,3,68,53,6,804,130
2016,California Polytechnic State University-San Luis Obispo,0,216,203,0,0,7,4,3,419,14
2016,California State University-Northridge,0,236,233,0,0,260,258,0,469,518
2016,Clemson University,0,431,410,10,0,55,44,2,851,101
2016,College of Charleston,0,144,143,0,0,64,63,0,287,127
2016,East Carolina University,4,458,450,2,1,178,172,9,914,360
2016,Emory University,0,148,146,0,0,17,17,1,294,35
2016,Florida Atlantic University,1,87,85,0,0,83,45,0,173,128
2016,Florida International University,0,161,154,0,0,95,80,0,315,175
2016,Florida State University,0,376,376,0,0,0,0,0,752,0
2016,Indiana University-Bloomington,0,1022,1019,0,0,30,30,0,2041,60
2016,Louisiana State University and Agricultural & Mechanical College,0,0,0,0,0,6,6,0,0,12
2016,Marshall University,0,3,3,0,0,11,11,0,6,22
2016,Miami University-Oxford,1,400,397,0,7,75,62,0,798,144
2016,Monmouth University,0,111,111,0,5,17,12,0,222,34
2016,Murray State University,0,42,41,0,0,2,1,1,83,4
2016,North Carolina State University at Raleigh,31,340,315,0,4,62,41,1,686,108
2016,Northwestern University,1,267,246,4,0,48,41,0,518,89
2016,Ohio State University-Main Campus,1,1931,1890,2,1,259,214,0,3824,474
2016,Ohio University-Main Campus,1,574,571,0,0,250,246,0,1146,496
2016,Pennsylvania State University-Main Campus,0,760,739,1,0,341,244,0,1500,585
2016,Rollins College,0,90,89,0,0,13,13,0,179,26
2016,Rutgers University-New Brunswick,0,38,38,0,1,129,126,0,76,256
2016,San Diego State University,0,624,624,0,0,205,205,0,1248,410
2016,Syracuse University,7,1073,1038,11,2,215,180,1,2129,398
2016,Texas State University,0,0,0,0,0,0,0,0,0,0
2016,The University of Texas at Arlington,0,98,97,1,0,25,21,0,196,46
2016,Tufts University,0,101,98,0,0,3,1,0,199,4
2016,University at Buffalo,0,353,349,0,0,255,216,0,702,471
2016,University of California-Berkeley,0,399,390,0,0,38,36,0,789,74
2016,University of Central Florida,12,107,13,9,8,84,33,14,141,139
2016,University of Idaho,6,74,73,0,2,32,24,2,153,60
2016,University of Iowa,0,625,624,1,0,57,49,0,1250,106
2016,University of Kansas,0,729,709,0,0,56,47,0,1438,103
2016,University of Michigan-Ann Arbor,0,1603,1594,10,2,362,360,0,3207,724
2016,University of Missouri-Columbia,5,792,770,3,0,0,0,0,1570,0
2016,University of New Mexico-Main Campus,0,227,227,0,0,73,72,0,454,145
2016,University of North Florida,0,160,155,0,0,113,101,1,315,215
2016,University of Pittsburgh-Pittsburgh Campus,5,248,240,3,0,124,89,2,496,215
2016,University of Vermont,8,587,509,34,0,393,287,4,1138,684
2016,University of Virginia-Main Campus,3,580,532,16,0,25,14,0,1131,39
2016,Washington State University,0,390,345,0,0,246,180,0,735,426
2016,West Virginia University,16,1604,1534,25,0,146,134,1,3179,281
2017,Arkansas State University-Main Campus,0,119,78,2,0,32,22,3,199,57
2017,Ball State University,7,396,383,1,3,104,84,3,787,194
2017,California Polytechnic State University-San Luis Obispo,0,292,290,0,0,5,4,0,582,9
2017,California State University-Northridge,0,169,168,0,0,172,171,0,337,343
2017,Clemson University,0,407,383,7,0,31,22,3,797,56
2017,College of Charleston,0,133,131,0,0,49,48,0,264,97
2017,East Carolina University,0,325,300,2,0,17,13,5,627,35
2017,Emory University,0,143,142,0,0,36,36,0,285,72
2017,Florida Atlantic University,0,53,47,0,0,122,70,0,100,192
2017,Florida International University,0,100,98,1,0,81,65,0,199,146
2017,Florida State University,0,388,388,0,0,1,1,0,776,2
2017,Indiana University-Bloomington,8,831,809,8,6,240,144,13,1656,403
2017,Louisiana State University and Agricultural & Mechanical College,0,0,0,0,0,0,0,0,0,0
2017,Marshall University,0,45,43,0,0,12,7,0,88,19
2017,Miami University-Oxford,1,243,233,1,0,73,58,0,478,131
2017,Monmouth University,0,72,72,0,0,17,17,0,144,34
2017,Murray State University,0,29,29,0,0,6,5,0,58,11
2017,North Carolina State University at Raleigh,21,274,225,0,2,73,50,0,520,125
2017,Northwestern University,0,289,277,2,0,2,1,0,568,3
2017,Ohio State University-Main Campus,20,1844,1821,1,7,313,225,0,3686,545
2017,Ohio University-Main Campus,3,253,252,0,0,43,37,0,508,80
2017,Pennsylvania State University-Main Campus,16,1017,986,1,2,316,228,1,2020,547
2017,Rollins College,0,62,61,2,0,5,5,2,125,12
2017,Rutgers University-New Brunswick,0,35,35,0,0,66,56,2,70,124
2017,San Diego State University,0,669,669,0,0,232,232,0,1338,464
2017,Syracuse University,12,1023,944,30,3,186,177,1,2009,367
2017,Texas State University,6,1,0,0,2,2,1,0,7,5
2017,The University of Texas at Arlington,0,14,14,0,0,18,13,0,28,31
2017,Tufts University,0,166,154,0,0,2,2,0,320,4
2017,University at Buffalo,0,304,278,0,0,306,306,0,582,612
2017,University of California-Berkeley,0,523,522,0,0,122,121,0,1045,243
2017,University of Central Florida,0,75,66,0,0,123,87,2,141,212
2017,University of Idaho,6,75,67,1,3,22,20,6,149,51
2017,University of Iowa,0,693,682,1,0,55,39,2,1376,96
2017,University of Kansas,0,480,459,0,0,67,67,0,939,134
2017,University of Michigan-Ann Arbor,1,1556,1543,4,0,278,277,0,3104,555
2017,University of Missouri-Columbia,2,416,360,1,0,4,3,0,779,7
2017,University of New Mexico-Main Campus,0,316,311,0,0,93,93,2,627,188
2017,University of North Florida,0,204,196,0,0,163,147,0,400,310
2017,University of Pittsburgh-Pittsburgh Campus,3,279,276,6,0,152,118,0,564,270
2017,University of Vermont,0,476,411,17,0,505,405,6,904,916
2017,University of Virginia-Main Campus,1,401,357,14,2,70,51,0,773,123
2017,Washington State University,2,234,164,0,0,333,259,0,400,592
2017,West Virginia University,2,1375,1274,19,0,229,208,7,2670,444
2018,Arkansas State University-Main Campus,0,50,21,1,0,55,40,12,72,107
2018,Ball State University,0,300,298,0,0,124,115,0,598,239
2018,California Polytechnic State University-San Luis Obispo,0,124,113,0,0,7,5,0,237,12
2018,California State University-Northridge,0,124,122,0,0,118,118,0,246,236
2018,Clemson University,0,506,482,2,0,47,43,2,990,92
2018,College of Charleston,0,139,137,0,0,75,73,0,276,148
2018,East Carolina University,18,449,433,1,0,10,10,0,901,20
2018,Emory University,0,165,165,0,2,19,19,0,330,40
2018,Florida Atlantic University,0,72,61,0,0,73,54,0,133,127
2018,Florida International University,0,65,53,0,0,30,19,0,118,49
2018,Florida State University,0,279,279,0,0,1,0,0,558,1
2018,Indiana University-Bloomington,14,1179,1164,16,16,446,162,14,2373,638
2018,Louisiana State University and Agricultural & Mechanical College,0,0,0,0,0,0,0,0,0,0
2018,Marshall University,0,17,17,0,0,17,17,0,34,34
2018,Miami University-Oxford,1,336,336,0,4,118,109,0,673,231
2018,Monmouth University,0,82,82,0,1,11,10,0,164,22
2018,Murray State University,0,14,14,0,0,8,6,0,28,14
2018,North Carolina State University at Raleigh,14,292,273,2,1,114,77,3,581,195
2018,Northwestern University,1,211,202,4,0,4,3,1,418,8
2018,Ohio State University-Main Campus,9,1346,1294,1,8,344,286,0,2650,638
2018,Ohio University-Main Campus,0,224,224,0,0,20,20,0,448,40
2018,Pennsylvania State University-Main Campus,31,781,757,0,0,228,179,6,1569,413
2018,Rollins College,0,44,43,0,0,47,47,5,87,99
2018,Rutgers University-New Brunswick,0,10,10,0,9,96,78,3,20,186
2018,San Diego State University,0,569,569,0,0,144,144,0,1138,288
2018,Syracuse University,2,669,644,14,0,264,258,0,1329,522
2018,Texas State University,0,4,4,0,0,6,6,1,8,13
2018,The University of Texas at Arlington,0,5,4,0,0,13,13,0,9,26
2018,Tufts University,0,71,68,0,0,0,0,0,139,0
2018,University at Buffalo,0,279,279,0,0,296,254,0,558,550
2018,University of California-Berkeley,0,653,653,0,0,118,118,0,1306,236
2018,University of Central Florida,4,119,102,2,5,113,59,9,227,186
2018,University of Idaho,6,63,58,3,0,24,18,1,130,43
2018,University of Iowa,0,546,545,0,0,44,42,1,1091,87
2018,University of Kansas,0,505,487,0,0,113,109,0,992,222
2018,University of Michigan-Ann Arbor,0,1001,943,0,0,135,135,5,1944,275
2018,University of Missouri-Columbia,0,196,186,0,0,8,4,1,382,13
2018,University of New Mexico-Main Campus,0,191,190,0,0,62,50,0,381,112
2018,University of North Florida,0,322,319,0,0,117,110,0,641,227
2018,University of Pittsburgh-Pittsburgh Campus,3,252,247,11,0,56,46,8,513,110
2018,University of Vermont,7,368,344,0,1,185,162,0,719,348
2018,University of Virginia-Main Campus,5,439,404,5,1,28,12,1,853,42
2018,Washington State University,0,252,169,0,0,322,246,9,421,577
2018,West Virginia University,6,1294,1184,10,1,368,356,5,2494,730
