university,year,sexual_assault_total_cl,rape_total,statr_total_cl,fondl_total,rape_reshall,rape_oncampus,rape_noncampus,fondl_noncampus,fondl_oncampus,fondl_reshall,statr_noncampus,statr_oncampus,statr_reshall,fondl_total_cl
Arkansas State University-Main Campus,2014,3,3,0,0,3,3,0,0,0,0,0,0,0,0
Arkansas State University-Main Campus,2015,3,2,1,0,1,2,0,0,0,0,0,1,1,0
Arkansas State University-Main Campus,2016,7,7,0,0,7,7,0,0,0,0,0,0,0,0
Arkansas State University-Main Campus,2017,6,6,0,0,5,5,1,0,0,0,0,0,0,0
Arkansas State University-Main Campus,2018,13,6,0,7,6,6,0,0,7,3,0,0,0,7
Ball State University,2014,19,14,0,5,9,14,0,0,5,4,0,0,0,5
Ball State University,2015,34,26,0,8,15,18,8,2,6,4,0,0,0,8
Ball State University,2016,31,15,0,16,12,13,2,6,10,10,0,0,0,16
Ball State University,2017,43,27,0,16,17,21,6,0,16,12,0,0,0,16
Ball State University,2018,26,12,0,14,9,10,2,3,11,6,0,0,0,14
California Polytechnic State University-San Luis Obispo,2014,15,12,0,3,6,11,1,0,3,2,0,0,0,3
California Polytechnic State University-San Luis Obispo,2015,9,9,0,0,5,7,2,0,0,0,0,0,0,0
California Polytechnic State University-San Luis Obispo,2016,17,11,1,5,5,7,2,2,3,2,0,1,1,5
California Polytechnic State University-San Luis Obispo,2017,19,11,0,8,7,10,1,1,7,3,0,0,0,8
California Polytechnic State University-San Luis Obispo,2018,10,7,1,2,5,7,0,0,2,2,1,0,0,2
California State University-Northridge,2014,8,2,1,5,1,2,0,0,4,0,0,1,1,5
California State University-Northridge,2015,10,6,0,4,5,5,0,0,4,1,0,0,0,4
California State University-Northridge,2016,19,15,0,4,13,14,1,0,3,2,0,0,0,4
California State University-Northridge,2017,13,8,0,5,3,7,1,0,5,3,0,0,0,5
California State University-Northridge,2018,13,10,0,3,7,10,0,0,3,2,0,0,0,3
Clemson University,2014,11,5,0,6,3,4,1,0,5,3,0,0,0,6
Clemson University,2015,13,11,0,2,5,6,5,0,2,0,0,0,0,2
Clemson University,2016,10,8,0,2,2,8,0,1,1,0,0,0,0,2
Clemson University,2017,13,11,0,2,5,7,4,0,2,1,0,0,0,2
Clemson University,2018,8,4,0,4,3,4,0,1,3,1,0,0,0,4
College of Charleston,2014,13,9,0,4,9,9,0,0,4,3,0,0,0,4
College of Charleston,2015,9,7,0,2,6,7,0,0,2,1,0,0,0,2
College of Charleston,2016,9,9,0,0,9,9,0,0,0,0,0,0,0,0
College of Charleston,2017,9,8,0,1,7,8,0,0,0,0,0,0,0,1
College of Charleston,2018,11,6,0,5,6,6,0,0,3,2,0,0,0,5
East Carolina University,2014,11,7,0,4,7,7,0,0,4,4,0,0,0,4
East Carolina University,2015,27,22,0,5,17,17,5,0,3,2,0,0,0,5
East Carolina University,2016,21,16,0,5,16,16,0,0,5,4,0,0,0,5
East Carolina University,2017,23,16,0,7,15,16,0,0,7,5,0,0,0,7
East Carolina University,2018,25,18,0,7,14,14,4,1,5,3,0,0,0,7
Emory University,2014,34,27,0,7,21,27,0,0,7,5,0,0,0,7
Emory University,2015,22,8,0,14,2,6,0,0,13,6,0,0,0,14
Emory University,2016,11,6,0,5,3,6,0,0,5,1,0,0,0,5
Emory University,2017,17,9,0,8,8,9,0,0,8,4,0,0,0,8
Emory University,2018,28,12,0,16,7,12,0,0,15,2,0,0,0,16
Florida Atlantic University,2014,6,6,0,0,6,6,0,0,0,0,0,0,0,0
Florida Atlantic University,2015,5,5,0,0,3,5,0,0,0,0,0,0,0,0
Florida Atlantic University,2016,5,5,0,0,3,5,0,0,0,0,0,0,0,0
Florida Atlantic University,2017,18,12,0,6,10,12,0,0,6,4,0,0,0,6
Florida Atlantic University,2018,15,8,0,7,6,8,0,0,7,4,0,0,0,7
Florida International University,2014,12,2,0,10,2,2,0,0,10,0,0,0,0,10
Florida International University,2015,11,7,0,4,5,7,0,0,4,1,0,0,0,4
Florida International University,2016,12,8,0,4,7,8,0,0,4,0,0,0,0,4
Florida International University,2017,11,6,0,5,5,6,0,0,5,1,0,0,0,5
Florida International University,2018,23,17,0,6,1,17,0,0,6,2,0,0,0,6
Florida State University,2014,19,19,0,0,13,17,2,0,0,0,0,0,0,0
Florida State University,2015,28,28,0,0,22,24,4,0,0,0,0,0,0,0
Florida State University,2016,20,18,0,2,9,16,2,1,1,0,0,0,0,2
Florida State University,2017,15,13,0,2,11,12,1,0,2,0,0,0,0,2
Florida State University,2018,9,6,0,3,3,5,1,1,2,0,0,0,0,3
Indiana University-Bloomington,2014,29,22,0,7,11,13,9,1,6,5,0,0,0,7
Indiana University-Bloomington,2015,57,39,2,16,27,29,10,2,14,12,0,2,2,16
Indiana University-Bloomington,2016,30,21,0,9,14,15,6,0,9,5,0,0,0,9
Indiana University-Bloomington,2017,33,26,0,7,17,20,5,1,6,5,0,0,0,7
Indiana University-Bloomington,2018,33,22,0,11,12,13,9,1,10,9,0,0,0,11
Louisiana State University and Agricultural & Mechanical College,2014,12,10,1,1,1,10,0,0,1,0,0,1,1,1
Louisiana State University and Agricultural & Mechanical College,2015,11,9,0,2,1,8,1,0,2,2,0,0,0,2
Louisiana State University and Agricultural & Mechanical College,2016,11,8,0,3,4,8,0,0,3,0,0,0,0,3
Louisiana State University and Agricultural & Mechanical College,2017,13,11,0,2,1,10,1,0,2,1,0,0,0,2
Louisiana State University and Agricultural & Mechanical College,2018,14,12,0,2,11,12,0,0,2,2,0,0,0,2
Marshall University,2014,2,2,0,0,1,1,1,0,0,0,0,0,0,0
Marshall University,2015,2,0,0,2,0,0,0,1,1,0,0,0,0,2
Marshall University,2016,4,4,0,0,3,4,0,0,0,0,0,0,0,0
Marshall University,2017,7,3,0,4,2,2,0,0,4,4,0,0,0,4
Marshall University,2018,8,7,0,1,3,5,0,0,1,0,0,0,0,1
Miami University-Oxford,2014,18,17,0,1,10,14,3,1,0,0,0,0,0,1
Miami University-Oxford,2015,17,16,0,1,3,9,7,0,1,1,0,0,0,1
Miami University-Oxford,2016,32,26,0,6,9,20,6,0,6,3,0,0,0,6
Miami University-Oxford,2017,30,27,0,3,15,20,7,0,3,2,0,0,0,3
Miami University-Oxford,2018,37,28,0,9,9,19,9,0,9,6,0,0,0,9
Monmouth University,2014,3,2,0,1,2,2,0,0,1,1,0,0,0,1
Monmouth University,2015,6,3,0,3,2,3,0,0,3,3,0,0,0,3
Monmouth University,2016,5,5,0,0,2,4,1,0,0,0,0,0,0,0
Monmouth University,2017,10,9,0,1,6,9,0,0,1,0,0,0,0,1
Monmouth University,2018,12,6,5,1,2,4,2,0,1,0,0,5,5,1
Murray State University,2014,10,8,0,2,7,7,1,0,2,2,0,0,0,2
Murray State University,2015,13,9,0,4,7,9,0,0,3,2,0,0,0,4
Murray State University,2016,15,12,0,3,10,12,0,1,2,2,0,0,0,3
Murray State University,2017,18,10,0,8,8,9,1,1,7,4,0,0,0,8
Murray State University,2018,14,5,0,9,4,4,1,3,6,2,0,0,0,9
North Carolina State University at Raleigh,2014,10,5,0,5,2,3,1,0,5,1,0,0,0,5
North Carolina State University at Raleigh,2015,15,9,0,6,7,9,0,1,5,1,0,0,0,6
North Carolina State University at Raleigh,2016,37,32,0,5,28,30,2,1,4,2,0,0,0,5
North Carolina State University at Raleigh,2017,40,18,0,22,12,15,3,3,17,8,0,0,0,22
North Carolina State University at Raleigh,2018,32,11,0,21,8,9,2,3,16,6,0,0,0,21
Northwestern University,2014,10,4,0,6,3,4,0,1,4,1,0,0,0,6
Northwestern University,2015,13,9,0,4,7,9,0,0,4,1,0,0,0,4
Northwestern University,2016,18,15,0,3,11,15,0,0,3,1,0,0,0,3
Northwestern University,2017,19,13,0,6,8,12,0,0,6,2,0,0,0,6
Northwestern University,2018,16,11,0,5,8,8,0,0,4,1,0,0,0,5
Ohio State University-Main Campus,2014,37,22,1,14,17,20,2,2,12,6,0,1,1,14
Ohio State University-Main Campus,2015,45,30,0,15,21,25,5,1,14,9,0,0,0,15
Ohio State University-Main Campus,2016,86,62,0,24,47,57,5,2,22,8,0,0,0,24
Ohio State University-Main Campus,2017,132,87,0,45,57,72,15,14,30,16,0,0,0,45
Ohio State University-Main Campus,2018,1188,141,0,1047,80,123,18,2,1040,22,0,0,0,1047
Ohio University-Main Campus,2014,22,21,0,1,19,19,2,0,1,0,0,0,0,1
Ohio University-Main Campus,2015,30,20,0,10,19,20,0,0,9,6,0,0,0,10
Ohio University-Main Campus,2016,47,32,0,15,26,32,0,2,10,6,0,0,0,15
Ohio University-Main Campus,2017,44,34,0,10,28,33,0,0,9,3,0,0,0,10
Ohio University-Main Campus,2018,47,38,1,8,29,34,4,1,7,4,0,1,0,8
Pennsylvania State University-Main Campus,2014,40,27,0,13,9,15,12,2,11,7,0,0,0,13
Pennsylvania State University-Main Campus,2015,62,51,0,11,22,31,20,1,9,3,0,0,0,11
Pennsylvania State University-Main Campus,2016,83,63,0,20,30,35,28,2,16,6,0,0,0,20
Pennsylvania State University-Main Campus,2017,75,54,0,21,30,37,16,1,20,11,0,0,0,21
Pennsylvania State University-Main Campus,2018,103,69,1,33,38,49,20,6,27,14,0,1,0,33
Rollins College,2014,6,2,0,4,2,2,0,0,4,2,0,0,0,4
Rollins College,2015,10,7,0,3,5,6,1,0,3,3,0,0,0,3
Rollins College,2016,21,16,0,5,13,16,0,0,5,3,0,0,0,5
Rollins College,2017,9,9,0,0,5,9,0,0,0,0,0,0,0,0
Rollins College,2018,12,8,0,4,6,7,0,0,4,3,0,0,0,4
Rutgers University-New Brunswick,2014,50,39,0,11,29,32,7,0,9,2,0,0,0,11
Rutgers University-New Brunswick,2015,47,31,1,15,24,26,5,0,14,8,0,1,1,15
Rutgers University-New Brunswick,2016,31,23,0,8,22,23,0,0,8,5,0,0,0,8
Rutgers University-New Brunswick,2017,39,30,0,9,24,30,0,0,8,4,0,0,0,9
Rutgers University-New Brunswick,2018,24,17,0,7,10,15,1,1,6,3,0,0,0,7
San Diego State University,2014,24,20,0,4,10,12,6,0,3,1,0,0,0,4
San Diego State University,2015,27,12,1,14,7,9,3,0,13,4,0,1,0,14
San Diego State University,2016,10,7,1,2,3,4,1,0,2,1,0,1,0,2
San Diego State University,2017,11,5,1,5,3,5,0,0,3,1,0,1,1,5
San Diego State University,2018,10,9,0,1,7,7,1,0,1,0,0,0,0,1
Syracuse University,2014,9,5,0,4,5,5,0,0,4,4,0,0,0,4
Syracuse University,2015,19,11,0,8,6,8,2,2,6,3,0,0,0,8
Syracuse University,2016,19,14,0,5,12,12,2,2,3,1,0,0,0,5
Syracuse University,2017,23,17,0,6,12,13,4,0,6,4,0,0,0,6
Syracuse University,2018,16,11,0,5,10,10,1,0,5,3,0,0,0,5
Texas State University,2014,5,4,0,1,3,4,0,0,1,1,0,0,0,1
Texas State University,2015,3,1,0,2,0,0,1,0,2,2,0,0,0,2
Texas State University,2016,7,7,0,0,4,6,1,0,0,0,0,0,0,0
Texas State University,2017,18,17,1,0,6,15,2,0,0,0,0,1,0,0
Texas State University,2018,21,19,0,2,10,19,0,0,1,0,0,0,0,2
The University of Texas at Arlington,2014,8,4,0,4,3,3,1,0,4,1,0,0,0,4
The University of Texas at Arlington,2015,1,1,0,0,1,1,0,0,0,0,0,0,0,0
The University of Texas at Arlington,2016,7,4,0,3,3,4,0,0,3,3,0,0,0,3
The University of Texas at Arlington,2017,7,5,0,2,4,5,0,0,2,0,0,0,0,2
The University of Texas at Arlington,2018,13,8,0,5,7,8,0,0,5,3,0,0,0,5
Tufts University,2014,26,12,0,14,12,12,0,0,13,2,0,0,0,14
Tufts University,2015,26,18,0,8,16,18,0,1,7,5,0,0,0,8
Tufts University,2016,30,7,0,23,6,7,0,2,20,12,0,0,0,23
Tufts University,2017,13,3,0,10,3,3,0,0,10,6,0,0,0,10
Tufts University,2018,14,6,0,8,6,6,0,0,7,2,0,0,0,8
University at Buffalo,2014,7,1,0,6,1,1,0,0,6,4,0,0,0,6
University at Buffalo,2015,9,4,0,5,3,3,0,0,5,4,0,0,0,5
University at Buffalo,2016,8,3,0,5,2,2,0,0,5,4,0,0,0,5
University at Buffalo,2017,10,3,0,7,3,3,0,0,7,4,0,0,0,7
University at Buffalo,2018,12,7,0,5,3,7,0,0,5,5,0,0,0,5
University of California-Berkeley,2014,48,29,1,18,13,15,14,2,9,3,0,1,0,18
University of California-Berkeley,2015,46,18,0,28,9,13,4,2,24,4,0,0,0,28
University of California-Berkeley,2016,54,35,0,19,17,25,9,5,12,4,0,0,0,19
University of California-Berkeley,2017,62,32,0,30,14,21,9,5,16,9,0,0,0,30
University of California-Berkeley,2018,42,28,0,14,13,19,8,3,9,4,0,0,0,14
University of Central Florida,2014,25,19,0,6,10,17,2,0,6,1,0,0,0,6
University of Central Florida,2015,21,13,1,7,8,11,2,0,7,0,0,1,0,7
University of Central Florida,2016,23,17,2,4,14,16,1,0,4,1,0,2,1,4
University of Central Florida,2017,34,24,2,8,16,19,5,0,8,5,0,2,0,8
University of Central Florida,2018,37,21,0,16,17,20,1,0,16,6,0,0,0,16
University of Idaho,2014,7,7,0,0,6,6,1,0,0,0,0,0,0,0
University of Idaho,2015,8,4,0,4,1,1,3,0,4,1,0,0,0,4
University of Idaho,2016,5,3,1,1,2,2,1,1,0,0,1,0,0,1
University of Idaho,2017,10,6,0,4,2,2,4,1,3,3,0,0,0,4
University of Idaho,2018,6,2,0,4,1,1,1,0,4,4,0,0,0,4
University of Iowa,2014,76,17,0,59,12,13,3,1,58,5,0,0,0,59
University of Iowa,2015,132,21,0,111,8,16,4,2,107,92,0,0,0,111
University of Iowa,2016,54,25,0,29,16,20,1,3,20,6,0,0,0,29
University of Iowa,2017,94,37,0,57,15,24,11,5,51,8,0,0,0,57
University of Iowa,2018,97,50,0,47,22,31,13,1,41,11,0,0,0,47
University of Kansas,2014,33,18,0,15,10,14,4,4,11,6,0,0,0,15
University of Kansas,2015,23,17,0,6,6,13,1,0,6,4,0,0,0,6
University of Kansas,2016,22,13,0,9,5,6,7,0,8,6,0,0,0,9
University of Kansas,2017,28,15,0,13,9,13,2,0,13,5,0,0,0,13
University of Kansas,2018,30,16,0,14,13,13,3,1,13,8,0,0,0,14
University of Michigan-Ann Arbor,2014,34,21,0,13,7,14,5,2,11,0,0,0,0,13
University of Michigan-Ann Arbor,2015,40,21,0,19,10,18,3,4,15,3,0,0,0,19
University of Michigan-Ann Arbor,2016,35,20,0,15,6,13,6,2,13,7,0,0,0,15
University of Michigan-Ann Arbor,2017,39,25,0,14,12,15,9,4,10,5,0,0,0,14
University of Michigan-Ann Arbor,2018,78,46,0,32,21,43,2,1,30,6,0,0,0,32
University of Missouri-Columbia,2014,26,18,0,8,6,6,12,2,6,2,0,0,0,8
University of Missouri-Columbia,2015,25,13,0,12,9,9,4,3,9,5,0,0,0,12
University of Missouri-Columbia,2016,29,22,0,7,13,19,3,0,7,2,0,0,0,7
University of Missouri-Columbia,2017,30,17,0,13,7,11,6,2,11,5,0,0,0,13
University of Missouri-Columbia,2018,23,10,0,13,6,6,4,1,12,3,0,0,0,13
University of New Mexico-Main Campus,2014,19,12,0,7,8,12,0,0,7,0,0,0,0,7
University of New Mexico-Main Campus,2015,31,13,0,18,9,12,1,1,17,2,0,0,0,18
University of New Mexico-Main Campus,2016,26,15,0,11,10,15,0,1,10,3,0,0,0,11
University of New Mexico-Main Campus,2017,31,19,0,12,13,18,1,0,12,4,0,0,0,12
University of New Mexico-Main Campus,2018,37,24,0,13,14,24,0,2,11,1,0,0,0,13
University of North Florida,2014,6,4,0,2,4,4,0,0,2,2,0,0,0,2
University of North Florida,2015,2,2,0,0,2,2,0,0,0,0,0,0,0,0
University of North Florida,2016,7,5,0,2,3,5,0,0,2,0,0,0,0,2
University of North Florida,2017,9,9,0,0,6,9,0,0,0,0,0,0,0,0
University of North Florida,2018,5,4,0,1,4,4,0,0,1,1,0,0,0,1
University of Pittsburgh-Pittsburgh Campus,2014,30,21,0,9,17,20,0,0,7,6,0,0,0,9
University of Pittsburgh-Pittsburgh Campus,2015,27,17,0,10,13,13,2,0,8,3,0,0,0,10
University of Pittsburgh-Pittsburgh Campus,2016,24,13,0,11,12,13,0,0,9,6,0,0,0,11
University of Pittsburgh-Pittsburgh Campus,2017,14,9,0,5,8,9,0,0,5,4,0,0,0,5
University of Pittsburgh-Pittsburgh Campus,2018,13,6,0,7,4,6,0,1,5,4,0,0,0,7
University of Vermont,2014,29,27,0,2,16,27,0,0,1,0,0,0,0,2
University of Vermont,2015,30,19,0,11,12,16,3,1,9,2,0,0,0,11
University of Vermont,2016,38,24,0,14,12,19,5,1,13,4,0,0,0,14
University of Vermont,2017,20,14,0,6,8,13,1,1,5,4,0,0,0,6
University of Vermont,2018,37,27,0,10,19,22,5,1,9,8,0,0,0,10
University of Virginia-Main Campus,2014,49,44,0,5,24,35,9,1,4,3,0,0,0,5
University of Virginia-Main Campus,2015,17,7,0,10,7,7,0,0,8,3,0,0,0,10
University of Virginia-Main Campus,2016,24,15,0,9,10,10,4,2,7,3,0,0,0,9
University of Virginia-Main Campus,2017,25,16,0,9,9,12,3,2,6,3,0,0,0,9
University of Virginia-Main Campus,2018,44,28,0,16,20,28,0,0,16,6,0,0,0,16
Washington State University,2014,14,12,0,2,7,7,5,0,2,2,0,0,0,2
Washington State University,2015,28,28,0,0,13,15,13,0,0,0,0,0,0,0
Washington State University,2016,44,34,0,10,8,8,21,3,7,6,0,0,0,10
Washington State University,2017,23,17,0,6,10,10,7,1,5,2,0,0,0,6
Washington State University,2018,48,38,0,10,26,27,10,1,8,5,0,0,0,10
West Virginia University,2014,13,11,0,2,4,4,4,0,2,2,0,0,0,2
West Virginia University,2015,12,12,0,0,11,11,0,0,0,0,0,0,0,0
West Virginia University,2016,13,12,0,1,9,9,3,0,1,1,0,0,0,1
West Virginia University,2017,20,18,0,2,11,12,5,1,1,0,0,0,0,2
West Virginia University,2018,9,9,0,0,8,8,1,0,0,0,0,0,0,0
