University,fall start,fall end,spring start,spring end
Albany State University,8/10/20,12/9/20,1/11/21,5/10/21
Arkansas State University-Main Campus,8/25/20,12/19/20,1/12/21,5/11/21
Ball State University,8/24/20,12/19/20,1/19/21,5/7/21
California State University-Chico,8/26/19,12/16/19,1/21/20,5/11/20
California Polytechnic State University-San Luis Obispo,9/20/21,12/14/21,1/3/22,6/11/22
California State University-Northridge,8/22/20,12/21/20,1/25/21,5/25/21
Clemson University,8/18/21,12/15/21,1/6/21,5/3/21
College of Charleston,8/24/21,12/15/21,1/11/21,5/6/21
Delaware State University,8/25/20,12/14/20,1/19/21,5/8/21
DePauw University,8/21/19,12/19/19,1/27/20,5/20/20
East Carolina University,8/23/21,12/17/21,1/10/22,5/9/22
Emory University,8/19/20,12/23/20,1/25/21,5/15/21
Ferrum College,8/25/20,11/30/20,1/19/21,5/1/21
Florida Atlantic University,8/22/20,12/21/20,1/9/21,4/30/21
Florida International University,8/24/20,12/17/20,1/11/21,4/29/21
Florida State University,8/23/21,12/10/21,1/6/21,4/23/21
Hampden-Sydney College,8/23/21,12/11/21,2/15/21,5/8/21
Indiana University-Bloomington,8/23/21,12/20/21,1/19/21,5/12/21
James Madison University,8/25/21,12/17/21,1/18/22,5/12/22
Louisiana State University and Agricultural & Mechanical College,8/24/20,12/15/20,1/11/21,5/5/21
Marshall University,8/24/20,12/14/20,1/19/21,5/3/21
Michigan State University,8/28/19,12/13/19,1/6/20,5/1/20
Monmouth University,9/7/21,12/23/21,1/25/21,5/7/21
Murray State University,8/12/19,12/6/19,1/13/20,5/8/20
North Carolina Central University,8/19/19,12/13/19,1/13/20,5/1/20
North Carolina State University at Raleigh,8/16/21,12/10/21,1/19/21,5/12/21
Northwestern University,9/16/20,12/14/20,1/11/21,6/15/21
Ohio State University-Main Campus,8/25/20,12/15/20,1/11/21,4/30/21
Ohio University-Main Campus,8/24/20,12/16/20,1/19/21,5/5/21
Pennsylvania State University-Main Campus,8/24/20,12/19/20,1/19/21,5/7/21
Prairie View A & M University,8/23/21,12/8/21,1/18/22,5/17/22
Rollins College,9/14/20,12/23/20,1/19/21,5/5/21
Rutgers University-New Brunswick,9/1/20,12/21/20,1/19/21,5/12/21
San Diego State University,8/23/20,12/16/20,1/20/21,5/21/21
Southern Methodist University,8/26/19,12/18/19,1/17/20,5/12/20
SUNY at Albany,8/24/20,12/12/20,2/1/21,5/19/21
Syracuse University,8/24/20,12/21/20,2/8/21,5/23/21
Texas A & M University-College Station,8/19/20,12/10/20,1/19/21,5/12/21
Texas Christian University,8/23/21,12/18/21,1/13/20,5/9/20
Texas State University,8/24/20,12/15/20,1/19/21,5/18/21
Texas Tech University,8/24/20,12/9/20,1/20/21,5/14/21
The University of Texas at Arlington,8/26/20,12/17/20,1/21/20,5/15/20
The University of Texas at Austin,8/26/20,12/17/20,1/19/21,5/19/20
Tufts University,9/28/20,12/23/20,1/19/22,5/20/22
University at Buffalo,8/26/19,12/17/19,1/27/20,5/17/20
University of Arizona,8/26/19,12/19/19,1/15/20,5/15/20
University of Arkansas,8/26/19,12/19/19,1/13/20,5/8/20
University of California-Berkeley,8/26/20,12/18/20,1/19/21,5/14/21
University of California-Irvine,10/1/20,12/18/20,1/4/21,6/11/21
University of California-Riverside,9/20/21,12/10/21,1/3/21,6/11/21
University of California-Santa Barbara,9/22/19,12/13/19,1/6/20,6/12/21
University of California-Santa Cruz,10/1/20,12/18/20,1/4/21,6/10/21
University of Central Florida,8/23/21,12/15/21,1/6/20,5/2/20
University of Delaware ,8/27/19,12/18/19,2/10/20,5/30/20
University of Idaho,8/24/20,12/22/20,1/13/21,5/18/21
University of Illinois at Urbana-Champaign,8/26/19,12/20/19,1/21/20,5/11/20
University of Iowa,8/23/21,12/22/21,1/25/21,5/15/21
University of Kansas,8/24/20,12/12/20,2/1/21,5/14/21
University of Kentucky,8/23/21,12/17/21,1/10/22,5/6/22
University of Louisiana at Lafayette,8/23/21,12/13/21,1/13/21,5/10/21
University of Michigan-Ann Arbor,8/20/21,12/20/21,1/5/22,4/28/22
University of Mississippi,8/12/19,12/14/19,1/6/20,5/11/20
University of Missouri-Columbia,8/24/20,12/22/21,1/19/21,5/18/21
University of Nebraska-Lincoln,8/17/20,12/18/20,1/25/21,5/7/21
University of Nevada-Reno,9/7/21,12/17/21,1/25/21,5/17/21
University of New Mexico-Main Campus,8/23/20,12/18/20,1/18/21,5/15/21
University of North Florida,8/17/20,12/18/20,1/6/21,4/30/21
University of Pittsburgh-Pittsburgh Campus,8/19/20,12/12/20,1/19/21,5/5/21
University of South Carolina-Columbia,8/20/20,12/14/20,1/11/21,5/8/21
University of Southern California,8/23/21,12/16/21,1/10/22,5/13/22
University of Vermont,8/31/20,12/11/20,2/1/21,5/20/21
University of Virginia-Main Campus,8/25/20,12/18/20,2/1/21,5/16/21
University of Wisconsin-Madison,9/4/19,12/19/19,1/21/20,5/9/20
Washington State University,8/24/20,12/22/20,1/19/21,5/11/21
West Virginia University,8/19/20,12/19/20,1/19/21,5/15/21