date_reported,time_reported,incident,case_number,university,date_occurred,location,time_occurred
06/30/2014,04:41:04,Criminal Mischief,2014-000090971401,Ball State University,NA,NA,NA
06/30/2014,17:45:56,Criminal Mischief,2014-000091231120,Ball State University,NA,NA,NA
07/01/2014,13:35:43,Criminal Mischief,2014-000091572523,Ball State University,NA,NA,NA
07/03/2014,00:55:29,Warrant Service,2014-000092171001,Ball State University,NA,NA,NA
07/06/2014,16:30:00,Stalking,2014-00009336200,Ball State University,NA,NA,NA
07/07/2014,12:14:09,Theft,2014-000093651700,Ball State University,NA,NA,NA
07/07/2014,16:28:47,Disturbance Domestic,2014-000093693051,Ball State University,NA,NA,NA
07/07/2014,18:53:16,Theft,2014-000093751500,Ball State University,NA,NA,NA
07/07/2014,20:08:48,Theft,2014-000093791100,Ball State University,NA,NA,NA
07/08/2014,07:20:51,Burglary,2014-00009396909,Ball State University,NA,NA,NA
07/08/2014,23:35:42,Trespass,2014-00009422409,Ball State University,NA,NA,NA
07/08/2014,23:35:42,Trespass,2014-00009422409,Ball State University,NA,NA,NA
07/09/2014,10:43:02,Theft,2014-000094381805,Ball State University,NA,NA,NA
07/09/2014,09:05:22,Theft,2014-000094401301,Ball State University,NA,NA,NA
07/09/2014,16:32:09,Theft,2014-000094471211,Ball State University,NA,NA,NA
07/10/2014,01:35:34,Warrant Service,2014-000094661524,Ball State University,NA,NA,NA
07/10/2014,17:17:22,Theft,2014-00009501715,Ball State University,NA,NA,NA
07/10/2014,18:32:44,Theft,2014-00009504715,Ball State University,NA,NA,NA
07/10/2014,18:32:44,Theft,2014-00009504715,Ball State University,NA,NA,NA
07/10/2014,18:32:44,Theft,2014-00009504715,Ball State University,NA,NA,NA
07/11/2014,01:33:27,Warrant Service,2014-00009520,Ball State University,NA,NA,NA
07/11/2014,09:32:44,Theft,2014-000095331600,Ball State University,NA,NA,NA
07/11/2014,23:56:15,Burglary,2014-000095581000,Ball State University,NA,NA,NA
07/12/2014,03:43:38,Suspicious Activity,2014-00009562,Ball State University,NA,NA,NA
07/12/2014,21:56:32,Criminal Mischief,2014-000095931700,Ball State University,NA,NA,NA
07/13/2014,21:35:54,Trespass,2014-000096291600,Ball State University,NA,NA,NA
07/13/2014,21:35:54,Trespass,2014-000096291600,Ball State University,NA,NA,NA
07/13/2014,21:35:54,Trespass,2014-000096291600,Ball State University,NA,NA,NA
07/14/2014,08:18:16,Residential Entry,2014-00009642830,Ball State University,NA,NA,NA
07/15/2014,01:42:25,Assist Other Agency,2014-00009675425,Ball State University,NA,NA,NA
07/15/2014,18:58:13,Theft,2014-000097041700,Ball State University,NA,NA,NA
07/16/2014,11:33:12,Theft,2014-00009743200,Ball State University,NA,NA,NA
07/16/2014,11:48:20,Criminal Mischief,2014-00009744615,Ball State University,NA,NA,NA
07/17/2014,10:32:14,Criminal Mischief,2014-000097991208,Ball State University,NA,NA,NA
07/17/2014,15:56:29,Theft,2014-00009812304,Ball State University,NA,NA,NA
07/19/2014,03:17:33,Suspicious Activity,2014-000098951700,Ball State University,NA,NA,NA
07/21/2014,16:10:15,Suspicious Activity,2014-00010003,Ball State University,NA,NA,NA
07/22/2014,16:17:05,Theft,2014-000100631500,Ball State University,NA,NA,NA
07/22/2014,18:11:21,Theft,2014-000100691500,Ball State University,NA,NA,NA
07/22/2014,18:11:21,Theft,2014-000100691500,Ball State University,NA,NA,NA
07/22/2014,18:11:21,Theft,2014-000100691500,Ball State University,NA,NA,NA
07/22/2014,18:11:21,Theft,2014-000100691500,Ball State University,NA,NA,NA
07/23/2014,03:22:43,Assist Other Agency,2014-00010085714,Ball State University,NA,NA,NA
07/23/2014,03:22:43,Assist Other Agency,2014-00010085714,Ball State University,NA,NA,NA
07/25/2014,19:03:20,Burglary,2014-000102081009,Ball State University,NA,NA,NA
07/25/2014,23:55:52,Warrant Service,2014-000102131524,Ball State University,NA,NA,NA
07/27/2014,01:11:36,Warrant Service,2014-00010254,Ball State University,NA,NA,NA
07/27/2014,01:59:29,Intoxicated Person,2014-000102561600,Ball State University,NA,NA,NA
07/27/2014,21:38:12,Theft,2014-000102781709,Ball State University,NA,NA,NA
07/28/2014,09:13:50,Harassment,2014-000102942001,Ball State University,NA,NA,NA
07/29/2014,10:12:13,Theft,2014-00010346301,Ball State University,NA,NA,NA
07/29/2014,11:30:25,Trespass,2014-000103492001,Ball State University,NA,NA,NA
07/29/2014,11:30:25,Trespass,2014-000103492001,Ball State University,NA,NA,NA
07/29/2014,19:00:04,Theft,2014-00010359715,Ball State University,NA,NA,NA
07/30/2014,02:12:54,Suspicious Activity,2014-00010378409,Ball State University,NA,NA,NA
07/30/2014,02:12:54,Suspicious Activity,2014-00010378409,Ball State University,NA,NA,NA
07/30/2014,09:54:46,Theft,2014-00010390920,Ball State University,NA,NA,NA
07/30/2014,20:27:58,Theft,2014-000104231505,Ball State University,NA,NA,NA
07/31/2014,01:02:00,Intoxicated Person,2014-000104341401,Ball State University,NA,NA,NA
08/01/2014,01:59:00,Intoxicated Driver,2014-00010496,Ball State University,NA,NA,NA
08/01/2014,01:59:00,Intoxicated Driver,2014-00010496,Ball State University,NA,NA,NA
08/02/2014,01:55:00,Intoxicated Driver,2014-00010549901,Ball State University,NA,NA,NA
08/02/2014,01:55:00,Intoxicated Driver,2014-00010549901,Ball State University,NA,NA,NA
08/03/2014,00:17:13,Theft,2014-000105751401,Ball State University,NA,NA,NA
08/03/2014,16:26:56,Criminal Mischief,2014-000105871201,Ball State University,NA,NA,NA
08/05/2014,22:20:09,Warrant Service,2014-000106671800,Ball State University,NA,NA,NA
08/07/2014,00:37:57,Criminal Mischief,2014-000107151211,Ball State University,NA,NA,NA
08/07/2014,00:37:57,Criminal Mischief,2014-000107151211,Ball State University,NA,NA,NA
08/07/2014,16:06:26,Theft,2014-000107451500,Ball State University,NA,NA,NA
08/08/2014,03:09:31,Fight,2014-00010781215,Ball State University,NA,NA,NA
08/08/2014,03:09:31,Fight,2014-00010781215,Ball State University,NA,NA,NA
08/08/2014,03:09:31,Fight,2014-00010781215,Ball State University,NA,NA,NA
08/08/2014,03:09:31,Fight,2014-00010781215,Ball State University,NA,NA,NA
08/09/2014,01:58:54,Intoxicated Driver,2014-00010822,Ball State University,NA,NA,NA
08/10/2014,02:15:20,Fight,2014-00010864409,Ball State University,NA,NA,NA
08/11/2014,14:26:11,Invasion Of Privacy,2014-000109241810,Ball State University,NA,NA,NA
08/11/2014,19:15:12,Theft,2014-000109321800,Ball State University,NA,NA,NA
08/13/2014,00:58:00,Intoxicated Person,2014-000109851600,Ball State University,NA,NA,NA
08/13/2014,00:58:00,Intoxicated Person,2014-000109851600,Ball State University,NA,NA,NA
08/13/2014,04:46:00,Intoxicated Person,2014-00010996,Ball State University,NA,NA,NA
08/13/2014,12:56:51,Theft,2014-000110081123,Ball State University,NA,NA,NA
08/13/2014,23:58:45,Intoxicated Person,2014-000110371400,Ball State University,NA,NA,NA
08/14/2014,02:33:00,Sex Offense,2014-00011049303,Ball State University,NA,NA,NA
08/14/2014,08:35:04,Theft,2014-000110581400,Ball State University,NA,NA,NA
08/14/2014,08:59:28,Theft,2014-000110601500,Ball State University,NA,NA,NA
08/14/2014,19:53:55,Burglary,2014-000110891001,Ball State University,NA,NA,NA
08/15/2014,00:09:13,Criminal Mischief,2014-000111041015,Ball State University,NA,NA,NA
08/15/2014,02:21:19,Intoxicated Person,2014-000111181515,Ball State University,NA,NA,NA
08/15/2014,12:29:19,Theft,2014-00011142615,Ball State University,NA,NA,NA
08/15/2014,15:34:18,Theft,2014-000111522000,Ball State University,NA,NA,NA
08/15/2014,18:19:00,Counterfeit,2014-000111621524,Ball State University,NA,NA,NA
08/15/2014,20:15:33,Theft,2014-000111701301,Ball State University,NA,NA,NA
08/16/2014,04:03:37,Fight,2014-00011217,Ball State University,NA,NA,NA
08/16/2014,04:03:37,Fight,2014-00011217,Ball State University,NA,NA,NA
08/16/2014,04:04:42,Suspicious Activity,2014-000112181675,Ball State University,NA,NA,NA
08/16/2014,23:50:00,Suspicious Activity,2014-000112581204,Ball State University,NA,NA,NA
08/16/2014,23:50:00,Suspicious Activity,2014-000112581204,Ball State University,NA,NA,NA
08/16/2014,23:50:00,Suspicious Activity,2014-000112581204,Ball State University,NA,NA,NA
08/16/2014,23:50:00,Suspicious Activity,2014-000112581204,Ball State University,NA,NA,NA
08/17/2014,00:21:44,Intoxicated Person,2014-000112611123,Ball State University,NA,NA,NA
08/17/2014,00:35:39,Criminal Mischief,2014-000112622000,Ball State University,NA,NA,NA
08/17/2014,03:17:56,Assault,2014-00011273319,Ball State University,NA,NA,NA
08/17/2014,09:43:16,Criminal Mischief,2014-00011280909,Ball State University,NA,NA,NA
08/17/2014,17:56:34,Theft,2014-000113031631,Ball State University,NA,NA,NA
08/17/2014,18:44:54,Theft,2014-000113053000,Ball State University,NA,NA,NA
08/18/2014,11:06:44,Criminal Mischief,2014-00011350913,Ball State University,NA,NA,NA
08/18/2014,12:01:00,Criminal Mischief,2014-000113531926,Ball State University,NA,NA,NA
08/18/2014,13:45:03,Theft,2014-000113571550,Ball State University,NA,NA,NA
08/18/2014,16:51:05,Criminal Mischief,2014-000113672015,Ball State University,NA,NA,NA
08/20/2014,18:06:54,Theft,2014-00011497715,Ball State University,NA,NA,NA
08/21/2014,07:35:24,Criminal Mischief,2014-00011533551,Ball State University,NA,NA,NA
08/21/2014,20:12:25,Theft,2014-000115811515,Ball State University,NA,NA,NA
08/23/2014,00:37:03,Intoxicated Person,2014-000116911500,Ball State University,NA,NA,NA
08/23/2014,02:34:37,Intoxicated Person,2014-00011703,Ball State University,NA,NA,NA
08/23/2014,04:28:26,Intoxicated Person,2014-000117071401,Ball State University,NA,NA,NA
08/23/2014,14:54:57,Theft,2014-00011726304,Ball State University,NA,NA,NA
08/23/2014,23:38:52,Noise Complaint,2014-000117441001,Ball State University,NA,NA,NA
08/23/2014,23:38:52,Noise Complaint,2014-000117441001,Ball State University,NA,NA,NA
08/25/2014,09:38:24,Theft,2014-000118231710,Ball State University,NA,NA,NA
08/25/2014,17:00:48,Theft,2014-000118541800,Ball State University,NA,NA,NA
08/25/2014,21:25:16,Suspicious Activity,2014-000118642500,Ball State University,NA,NA,NA
08/26/2014,14:06:10,Theft,2014-000118881601,Ball State University,NA,NA,NA
08/26/2014,18:03:23,Theft,2014-000119021900,Ball State University,NA,NA,NA
08/26/2014,18:03:23,Theft,2014-000119021900,Ball State University,NA,NA,NA
08/26/2014,18:03:23,Theft,2014-000119021900,Ball State University,NA,NA,NA
08/26/2014,21:01:30,Theft,2014-000119131007,Ball State University,NA,NA,NA
08/27/2014,13:48:33,Theft,2014-00011947215,Ball State University,NA,NA,NA
08/27/2014,17:07:00,Theft,2014-000119541500,Ball State University,NA,NA,NA
08/27/2014,17:07:00,Theft,2014-000119541500,Ball State University,NA,NA,NA
08/28/2014,14:30:03,Theft,2014-000120051622,Ball State University,NA,NA,NA
08/28/2014,23:36:11,Suspicious Activity,2014-000120391708,Ball State University,NA,NA,NA
08/28/2014,23:36:11,Suspicious Activity,2014-000120391708,Ball State University,NA,NA,NA
08/28/2014,23:36:11,Suspicious Activity,2014-000120391708,Ball State University,NA,NA,NA
08/28/2014,23:36:11,Suspicious Activity,2014-000120391708,Ball State University,NA,NA,NA
08/29/2014,13:17:29,Theft,2014-00012075514,Ball State University,NA,NA,NA
08/29/2014,14:37:04,Warrant Service,2014-000120791515,Ball State University,NA,NA,NA
08/29/2014,16:49:55,Theft,2014-000120871901,Ball State University,NA,NA,NA
08/29/2014,17:37:22,Order Violation,2014-000120921000,Ball State University,NA,NA,NA
08/30/2014,01:09:10,Suspicious Activity,2014-00012110,Ball State University,NA,NA,NA
08/30/2014,01:09:10,Suspicious Activity,2014-00012110,Ball State University,NA,NA,NA
08/30/2014,03:12:25,Resisting Law Enforcement,2014-000121192800,Ball State University,NA,NA,NA
08/30/2014,03:12:25,Resisting Law Enforcement,2014-000121192800,Ball State University,NA,NA,NA
08/30/2014,14:03:35,Theft,2014-000121442712,Ball State University,NA,NA,NA
08/30/2014,18:25:42,Intoxicated Person,2014-00012158,Ball State University,NA,NA,NA
08/30/2014,18:25:42,Intoxicated Person,2014-00012158,Ball State University,NA,NA,NA
08/30/2014,18:25:42,Intoxicated Person,2014-00012158,Ball State University,NA,NA,NA
08/30/2014,18:25:42,Intoxicated Person,2014-00012158,Ball State University,NA,NA,NA
08/31/2014,00:46:11,Intoxicated Person,2014-000121741813,Ball State University,NA,NA,NA
08/31/2014,00:46:11,Intoxicated Person,2014-000121741813,Ball State University,NA,NA,NA
08/31/2014,01:39:44,Assist Other Agency,2014-00012181801,Ball State University,NA,NA,NA
08/31/2014,11:33:11,Theft,2014-000122041600,Ball State University,NA,NA,NA
09/01/2014,01:13:56,Intoxicated Person,2014-000122261217,Ball State University,NA,NA,NA
09/01/2014,22:22:58,Sex Offense,2014-000122611401,Ball State University,NA,NA,NA
09/02/2014,02:08:06,Theft,2014-000122692000,Ball State University,NA,NA,NA
09/02/2014,02:08:06,Theft,2014-000122692000,Ball State University,NA,NA,NA
09/02/2014,02:08:06,Theft,2014-000122692000,Ball State University,NA,NA,NA
09/02/2014,14:13:05,Assault,2014-000122912703,Ball State University,NA,NA,NA
09/03/2014,09:40:46,Criminal Mischief,2014-000123271400,Ball State University,NA,NA,NA
09/03/2014,13:01:44,Criminal Mischief,2014-00012332300,Ball State University,NA,NA,NA
09/03/2014,19:37:22,Fraud,2014-000123421100,Ball State University,NA,NA,NA
09/04/2014,09:40:32,Theft,2014-000123791515,Ball State University,NA,NA,NA
09/04/2014,09:45:40,Criminal Mischief,2014-00012380218,Ball State University,NA,NA,NA
09/04/2014,12:37:21,Theft,2014-00012387551,Ball State University,NA,NA,NA
09/05/2014,14:10:12,Disorderly Conduct,2014-00012446801,Ball State University,NA,NA,NA
09/05/2014,17:09:37,Burglary,2014-000124581325,Ball State University,NA,NA,NA
09/05/2014,18:29:26,Theft,2014-000124621601,Ball State University,NA,NA,NA
09/06/2014,00:50:41,Theft,2014-000124871409,Ball State University,NA,NA,NA
09/06/2014,01:41:37,Criminal Mischief,2014-000124921400,Ball State University,NA,NA,NA
09/06/2014,01:41:37,Criminal Mischief,2014-000124921400,Ball State University,NA,NA,NA
09/06/2014,01:41:37,Criminal Mischief,2014-000124921400,Ball State University,NA,NA,NA
09/06/2014,01:41:37,Criminal Mischief,2014-000124921400,Ball State University,NA,NA,NA
09/06/2014,01:41:37,Criminal Mischief,2014-000124921400,Ball State University,NA,NA,NA
09/06/2014,01:41:37,Criminal Mischief,2014-000124921400,Ball State University,NA,NA,NA
09/06/2014,02:10:42,Sex Offense,2014-000124931515,Ball State University,NA,NA,NA
09/07/2014,00:53:05,Noise Complaint,2014-000125401221,Ball State University,NA,NA,NA
09/07/2014,00:53:05,Noise Complaint,2014-000125401221,Ball State University,NA,NA,NA
09/07/2014,03:28:53,Sex Offense,2014-000125521601,Ball State University,NA,NA,NA
09/07/2014,21:23:00,Burglary,2014-000125801209,Ball State University,NA,NA,NA
09/07/2014,21:23:00,Burglary,2014-000125801209,Ball State University,NA,NA,NA
09/08/2014,10:12:46,Criminal Mischief,2014-000126101210,Ball State University,NA,NA,NA
09/08/2014,10:18:09,Theft,2014-000126111100,Ball State University,NA,NA,NA
09/08/2014,14:07:40,Harassment,2014-00012617200,Ball State University,NA,NA,NA
09/09/2014,01:55:59,Intoxicated Person,2014-000126481401,Ball State University,NA,NA,NA
09/09/2014,08:46:07,Theft,2014-000126622450,Ball State University,NA,NA,NA
09/09/2014,09:10:41,Theft,2014-00012663801,Ball State University,NA,NA,NA
09/09/2014,21:54:06,Burglary,2014-000127071001,Ball State University,NA,NA,NA
09/10/2014,11:07:07,Theft,2014-000127281800,Ball State University,NA,NA,NA
09/11/2014,08:07:46,Criminal Mischief,2014-000127711517,Ball State University,NA,NA,NA
09/11/2014,12:15:38,Theft,2014-000127861101,Ball State University,NA,NA,NA
09/12/2014,01:36:08,Disturbance Domestic,2014-000128162624,Ball State University,NA,NA,NA
09/12/2014,01:36:08,Disturbance Domestic,2014-000128162624,Ball State University,NA,NA,NA
09/12/2014,01:36:08,Disturbance Domestic,2014-000128162624,Ball State University,NA,NA,NA
09/13/2014,01:11:30,Dating Violence,2014-00012885,Ball State University,NA,NA,NA
09/13/2014,01:11:30,Dating Violence,2014-00012885,Ball State University,NA,NA,NA
09/13/2014,01:25:34,Intoxicated Person,2014-000128871500,Ball State University,NA,NA,NA
09/13/2014,01:25:34,Intoxicated Person,2014-000128871500,Ball State University,NA,NA,NA
09/13/2014,01:25:34,Intoxicated Person,2014-000128871500,Ball State University,NA,NA,NA
09/13/2014,01:25:34,Intoxicated Person,2014-000128871500,Ball State University,NA,NA,NA
09/13/2014,01:25:34,Intoxicated Person,2014-000128871500,Ball State University,NA,NA,NA
09/13/2014,02:14:07,Intoxicated Person,2014-000128901400,Ball State University,NA,NA,NA
09/13/2014,03:14:00,Intoxicated Person,2014-000128951515,Ball State University,NA,NA,NA
09/13/2014,03:21:46,Intoxicated Person,2014-000128971400,Ball State University,NA,NA,NA
09/13/2014,03:45:15,Intoxicated Person,2014-00012899,Ball State University,NA,NA,NA
09/13/2014,03:45:15,Intoxicated Person,2014-00012899,Ball State University,NA,NA,NA
09/13/2014,05:34:11,Suspicious Activity,2014-000129011600,Ball State University,NA,NA,NA
09/13/2014,11:48:47,Criminal Mischief,2014-000129111112,Ball State University,NA,NA,NA
09/13/2014,12:05:29,Theft,2014-000129121128,Ball State University,NA,NA,NA
09/13/2014,14:52:27,Intoxicated Person,2014-000129152800,Ball State University,NA,NA,NA
09/14/2014,00:30:10,Intoxicated Person,2014-000129391301,Ball State University,NA,NA,NA
09/14/2014,01:28:25,Intoxicated Person,2014-000129461600,Ball State University,NA,NA,NA
09/14/2014,01:41:43,Intoxicated Person,2014-00012949,Ball State University,NA,NA,NA
09/14/2014,02:43:45,Criminal Mischief,2014-000129541699,Ball State University,NA,NA,NA
09/14/2014,02:43:45,Criminal Mischief,2014-000129541699,Ball State University,NA,NA,NA
09/14/2014,02:43:45,Criminal Mischief,2014-000129541699,Ball State University,NA,NA,NA
09/14/2014,03:10:58,Fight,2014-000129571600,Ball State University,NA,NA,NA
09/14/2014,08:12:19,Criminal Mischief,2014-00012960917,Ball State University,NA,NA,NA
09/14/2014,09:55:14,Criminal Mischief,2014-000129631400,Ball State University,NA,NA,NA
09/14/2014,12:02:50,Criminal Mischief,2014-000129661200,Ball State University,NA,NA,NA
09/14/2014,13:23:32,Criminal Mischief,2014-000129681129,Ball State University,NA,NA,NA
09/14/2014,14:07:38,Criminal Mischief,2014-00012970808,Ball State University,NA,NA,NA
09/14/2014,17:50:00,Intoxicated Person,2014-000129711515,Ball State University,NA,NA,NA
09/14/2014,23:24:45,Theft,2014-000129823000,Ball State University,NA,NA,NA
09/15/2014,14:51:24,Theft,2014-000130083051,Ball State University,NA,NA,NA
09/15/2014,15:56:21,Theft,2014-00013011401,Ball State University,NA,NA,NA
09/15/2014,17:35:05,Theft,2014-000130161601,Ball State University,NA,NA,NA
09/16/2014,01:51:32,Intoxicated Person,2014-00013031,Ball State University,NA,NA,NA
09/16/2014,01:51:32,Intoxicated Person,2014-00013031,Ball State University,NA,NA,NA
09/16/2014,12:46:28,Theft,2014-00013046917,Ball State University,NA,NA,NA
09/17/2014,09:32:11,Theft,2014-000130791610,Ball State University,NA,NA,NA
09/17/2014,16:22:38,Theft,2014-00013098200,Ball State University,NA,NA,NA
09/19/2014,10:47:10,Theft,2014-00013205801,Ball State University,NA,NA,NA
09/19/2014,16:04:32,Criminal Mischief,2014-000132191675,Ball State University,NA,NA,NA
09/19/2014,16:57:33,Intimidation,2014-000132253901,Ball State University,NA,NA,NA
09/20/2014,00:32:42,Intoxicated Person,2014-000132461550,Ball State University,NA,NA,NA
09/20/2014,10:16:04,Criminal Mischief,2014-000132712013,Ball State University,NA,NA,NA
09/21/2014,00:42:56,Intoxicated Person,2014-000133301515,Ball State University,NA,NA,NA
09/21/2014,02:12:41,Intoxicated Person,2014-000133381515,Ball State University,NA,NA,NA
09/21/2014,02:12:41,Intoxicated Person,2014-000133381515,Ball State University,NA,NA,NA
09/21/2014,02:44:10,Intoxicated Person,2014-000133411601,Ball State University,NA,NA,NA
09/21/2014,03:59:00,Intoxicated Person,2014-000133442401,Ball State University,NA,NA,NA
09/21/2014,03:59:00,Intoxicated Person,2014-000133442401,Ball State University,NA,NA,NA
09/21/2014,03:59:00,Intoxicated Person,2014-000133442401,Ball State University,NA,NA,NA
09/21/2014,06:06:22,Suspicious Activity,2014-000133481100,Ball State University,NA,NA,NA
09/21/2014,06:06:22,Suspicious Activity,2014-000133481100,Ball State University,NA,NA,NA
09/21/2014,11:34:41,Burglary,2014-000133551307,Ball State University,NA,NA,NA
09/21/2014,15:06:40,Theft,2014-000133601105,Ball State University,NA,NA,NA
09/21/2014,14:40:07,Burglary,2014-000133611416,Ball State University,NA,NA,NA
09/22/2014,13:10:37,Burglary,2014-00013405200,Ball State University,NA,NA,NA
09/22/2014,13:13:05,Theft,2014-000134062200,Ball State University,NA,NA,NA
09/23/2014,01:23:21,Intoxicated Person,2014-000134311515,Ball State University,NA,NA,NA
09/23/2014,01:23:21,Intoxicated Person,2014-000134311515,Ball State University,NA,NA,NA
09/23/2014,01:23:21,Intoxicated Person,2014-000134311515,Ball State University,NA,NA,NA
09/23/2014,13:44:48,Theft,2014-00013457904,Ball State University,NA,NA,NA
09/23/2014,16:05:34,Theft,2014-000134601810,Ball State University,NA,NA,NA
09/24/2014,02:47:00,Theft,2014-000134901601,Ball State University,NA,NA,NA
09/25/2014,01:48:48,Assault,2014-000135451610,Ball State University,NA,NA,NA
09/25/2014,11:12:15,Criminal Mischief,2014-00013560201,Ball State University,NA,NA,NA
09/25/2014,11:48:52,Theft,2014-000135641101,Ball State University,NA,NA,NA
09/25/2014,12:39:05,Theft,2014-000135671009,Ball State University,NA,NA,NA
09/25/2014,12:45:24,Theft,2014-000135681101,Ball State University,NA,NA,NA
09/26/2014,01:56:11,Intoxicated Person,2014-000136231550,Ball State University,NA,NA,NA
09/26/2014,16:11:02,Sex Offense,2014-000136643601,Ball State University,NA,NA,NA
09/26/2014,18:26:42,Harassment,2014-00013667200,Ball State University,NA,NA,NA
09/27/2014,11:13:24,Criminal Mischief,2014-000137191022,Ball State University,NA,NA,NA
09/27/2014,13:21:19,Burglary,2014-000137231317,Ball State University,NA,NA,NA
09/27/2014,14:45:00,Theft,2014-000137261550,Ball State University,NA,NA,NA
09/27/2014,21:29:33,Drug Investigation,2014-000137411550,Ball State University,NA,NA,NA
09/28/2014,07:54:41,Criminal Mischief,2014-00013772900,Ball State University,NA,NA,NA
09/28/2014,09:28:35,Criminal Mischief,2014-00013773509,Ball State University,NA,NA,NA
09/28/2014,12:29:25,Criminal Mischief,2014-000137771411,Ball State University,NA,NA,NA
09/28/2014,17:28:36,Criminal Mischief,2014-00013783551,Ball State University,NA,NA,NA
09/28/2014,21:58:57,Criminal Mischief,2014-000138031419,Ball State University,NA,NA,NA
09/29/2014,22:09:11,Theft,2014-000138501515,Ball State University,NA,NA,NA
09/30/2014,11:01:32,Criminal Mischief,2014-000138671401,Ball State University,NA,NA,NA
09/30/2014,12:36:28,Theft,2014-000138711620,Ball State University,NA,NA,NA
09/30/2014,21:05:31,Disturbance Domestic,2014-000138992001,Ball State University,NA,NA,NA
10/02/2014,19:55:16,Theft,2014-000140081601,Ball State University,NA,NA,NA
10/03/2014,12:38:33,Stalking,2014-000140691211,Ball State University,NA,NA,NA
10/03/2014,13:05:57,Criminal Mischief,2014-000140711401,Ball State University,NA,NA,NA
10/04/2014,01:13:00,Intoxicated Person,2014-000141101515,Ball State University,NA,NA,NA
10/04/2014,03:21:59,Fight,2014-00014115409,Ball State University,NA,NA,NA
10/04/2014,03:21:59,Fight,2014-00014115409,Ball State University,NA,NA,NA
10/04/2014,03:21:59,Fight,2014-00014115409,Ball State University,NA,NA,NA
10/04/2014,10:09:37,Theft,2014-000141251515,Ball State University,NA,NA,NA
10/05/2014,02:11:00,Intoxicated Person,2014-000141591400,Ball State University,NA,NA,NA
10/05/2014,04:12:53,Intoxicated Person,2014-000141681401,Ball State University,NA,NA,NA
10/05/2014,13:45:09,Criminal Mischief,2014-000141821126,Ball State University,NA,NA,NA
10/06/2014,10:44:34,Theft,2014-000142271515,Ball State University,NA,NA,NA
10/07/2014,09:59:15,Criminal Mischief,2014-000142821007,Ball State University,NA,NA,NA
10/07/2014,12:44:30,Criminal Mischief,2014-000142901221,Ball State University,NA,NA,NA
10/08/2014,11:23:51,Theft,2014-000143471700,Ball State University,NA,NA,NA
10/08/2014,11:58:00,Theft,2014-000143491101,Ball State University,NA,NA,NA
10/09/2014,16:39:16,Trespass,2014-000144151700,Ball State University,NA,NA,NA
10/09/2014,20:18:16,Drug Investigation,2014-000144241601,Ball State University,NA,NA,NA
10/10/2014,15:34:06,Harassment,2014-00014483200,Ball State University,NA,NA,NA
10/11/2014,00:20:59,Intoxicated Person,2014-000145071515,Ball State University,NA,NA,NA
10/11/2014,00:51:02,Intoxicated Person,2014-000145081515,Ball State University,NA,NA,NA
10/11/2014,02:04:52,Criminal Mischief,2014-00014510828,Ball State University,NA,NA,NA
10/11/2014,11:45:28,Theft,2014-000145401800,Ball State University,NA,NA,NA
10/11/2014,15:56:03,Assist Other Agency,2014-000145513600,Ball State University,NA,NA,NA
10/12/2014,00:34:06,Intoxicated Driver,2014-000145771401,Ball State University,NA,NA,NA
10/12/2014,01:37:16,Theft,2014-000145841109,Ball State University,NA,NA,NA
10/12/2014,04:29:28,Assault,2014-000145982401,Ball State University,NA,NA,NA
10/12/2014,05:22:35,Intoxicated Person,2014-000146021601,Ball State University,NA,NA,NA
10/12/2014,09:54:18,Criminal Mischief,2014-000146091007,Ball State University,NA,NA,NA
10/12/2014,10:44:29,Criminal Mischief,2014-000146111100,Ball State University,NA,NA,NA
10/12/2014,10:51:37,Theft,2014-000146121108,Ball State University,NA,NA,NA
10/12/2014,20:04:44,Criminal Mischief,2014-000146311622,Ball State University,NA,NA,NA
10/13/2014,11:17:57,Assault,2014-000146683014,Ball State University,NA,NA,NA
10/13/2014,20:14:00,Sex Offense,2014-00014693,Ball State University,NA,NA,NA
10/13/2014,20:23:44,Theft,2014-000146951500,Ball State University,NA,NA,NA
