incident,case_number,date_reported,time_reported,date_occurred,time_occurred,location,university
Petit Theft,2018-0153,2018-07-20,12:12,2018-07-19,09:00,Osprey Fountains Unfounded,University of North Florida
Possession of Drugs,2018-0148,2018-07-19,00:05,2018-07-19,00:05,Osprey Landing W215 Cleared by arrest,University of North Florida
Video Voyeurism,2018-0146,2018-07-17,11:33,2018-07-17,11:33,PTDF Cleared by arrest,University of North Florida
No Proof of Insurance,A0Y5OAP,2018-07-15,17:45,2018-07-15,17:45,UNF Lot 15 Osprey Citation Issued,University of North Florida
No Valid Driver's license,A0Y5MDP,2018-07-15,10:00,2018-07-15,10:00,UNF Dr @ Alumni Dr Citation Issued,University of North Florida
No Valid Driver's license,A0Y5MDP,2018-07-15,10:00,2018-07-15,10:00,UN,University of North Florida
Expired Driver's license,a0y5gdp,2018-07-14,12:55,2018-07-14,12:55,1 UNF Dr @ Lot 11 Citation Issued,University of North Florida
Criminal Mischief,2018-0142,2018-07-11,15:19,2018-07-09,12:00,Bldg. 51 Suspended,University of North Florida
Information,2018-0140,2018-07-02,14:55,2018-06-18,14:55,Unknown Closed,University of North Florida
Possess Marijuna &,2018-0139,2018-07-02,02:20,2018-07-02,02:20,Osprey Fountains Cleared by arrest,University of North Florida
Battery,2018-0129,2018-06-23,12:01,2018-06-15,16:45,Bldg. 34 Exceptionally,University of North Florida
Burglary,2018-0137,2018-06-22,15:40,2018-03-18,15:00,Bldg. 39A Suspended,University of North Florida
Petit Theft,2018-0136,2018-06-21,12:29,2018-06-18,14:00,Phys Fac Suspended,University of North Florida
Possess Cocaine,2018-0100,2018-06-20,10:07,2018-04-26,10:15,Bldg 12 Exceptionally,University of North Florida
Grand Theft- Bicycle,2018-0134,2018-06-19,22:05,2018-06-17,14:00,Lot 15 Suspended,University of North Florida
Battery,2018-0130,2018-06-16,01:25,2018-06-15,20:10,UNF Dr near I-295 Exceptionally,University of North Florida
Battery,2018-0129,2018-06-15,19:26,2018-06-15,16:45,Lot 34 Open,University of North Florida
Possess Drug,2018-0128,2018-06-14,16:30,2018-06-14,16:30,The Flats Cleared by arrest,University of North Florida
Burglary to Vehicle,2018-0125,2018-06-08,12:33,2018-06-05,08:00,Lot 100 Suspended,University of North Florida
Burglary to Vehicle,2018-0125,2018-06-05,14:42,2018-06-05,08:00,Lot 100 Suspended,University of North Florida
Burglary to Vehicle,2018-0124,2018-06-05,14:24,2018-06-05,09:20,Lot 100 Suspended,University of North Florida
Possess Marijuana,2018-123,2018-06-05,07:40,2018-06-05,11:14,Osprey Fountains Cleared by arrest,University of North Florida
Battery,2018-0120,2018-05-30,16:08,2018-05-30,14:00,Bldg. 34 Suspended,University of North Florida
Petit Theft,2018-0117,2018-05-26,12:31,2018-05-25,11:00,Bldg. 61 Suspended,University of North Florida
Burglary to Vehicle,2018-0116,2018-05-25,22:50,2018-05-25,19:45,Lot 18 Suspended,University of North Florida
Possession of a,2018-0100,2018-05-24,08:20,2018-04-26,10:15,Bldg. 12 Suspended,University of North Florida
Grand Theft,2018-0115,2018-05-23,16:54,2018-05-21,10:00,Bldg. 50 Suspended,University of North Florida
Possess Marijuana,2018-0111,2018-05-21,21:56,2018-05-21,21:56,4654 Osprey Ridge Rd Cleared by arrest,University of North Florida
Burglary,2018-0107,2018-05-21,09:07,2018-04-10,17:00,Bldg. 39 Suspended,University of North Florida
Threats to Extort,2018-0110,2018-05-19,08:36,2013-10-01,00:01,The Flats Open,University of North Florida
Petit Theft,2018-0109,2018-05-16,17:11,2018-05-11,14:00,Bldg. 4 Suspended,University of North Florida
Burglary,2018-0107,2018-05-16,12:47,2018-04-10,17:00,Bldg 39 Suspended,University of North Florida
Trespass In Structure,2018-0102,2018-04-30,07:18,2018-04-28,12:00,Osprey Flats Suspended,University of North Florida
Burglary To Vehicle,2018-0103,2018-04-29,23:08,2018-04-29,01:00,Osprey Flats Suspended,University of North Florida
Burglary to Vehicle,2018-0103,2018-04-29,23:08,2018-04-29,01:00,Osprey Flats,University of North Florida
Criminal Mischief,2018-0101,2018-04-28,10:26,2018-04-28,08:00,1 UNF Dr/Bldg 2 Suspended,University of North Florida
Possess marijuana,2018-0099,2018-04-24,20:45,2018-04-24,20:45,Osprey Village,University of North Florida
Grand Theft,2018-0097,2018-04-22,16:57,2018-04-22,15:25,Bldg. 16,University of North Florida
Possess Marijuana &,2018-0095,2018-04-16,22:20,2018-04-16,22:20,Osprey Hall,University of North Florida
Possess Marijuana,2018-0093,2018-04-15,03:42,2018-04-15,03:42,Osprey Landing,University of North Florida
Sexual Battery,2018-0090,2018-04-11,16:39,NA,NA,Osprey Fountains,University of North Florida
Threat of extortion,2018-0088,2018-04-10,17:34,2018-04-07,16:00,Osprey Fountains,University of North Florida
Threat of extortion,2018-0088,2018-04-09,15:42,2018-04-07,16:00,Osprey Fountains,University of North Florida
Schemes to Defraud,2018-0052,2018-04-06,10:19,2018-03-06,15:29,Hicks Hall,University of North Florida
Possess Marijuana,2018-0082,2018-04-05,20:40,2018-04-05,20:40,Osprey Village,University of North Florida
Petit Theft,2018-0080,2018-04-04,20:21,2018-04-04,17:40,Bldg 12,University of North Florida
Petit Theft,2018-0079,2018-04-04,19:39,2018-04-04,16:00,NA,University of North Florida
Petit Theft,2018-0077,2018-04-03,13:55,2018-04-01,19:15,Bldg 12,University of North Florida
Posession of,2018-0076,2018-04-03,12:46,2018-04-03,12:46,Osprey Fountains,University of North Florida
Burglary to Vehicle,2018-0070,2018-03-27,14:22,2018-03-27,12:00,Lot 100,University of North Florida
Petit Theft - Motor vehicle,2018-0064,2018-03-18,08:23,2018-03-18,00:01,4850 First Coast Tech,University of North Florida
Grand Theft,2018-0056,2018-03-16,09:56,2018-03-13,09:30,Bldg 58,University of North Florida
Petit Theft,2018-0059,2018-03-14,16:29,2018-03-14,08:43,Lot 18,University of North Florida
Criminal Mischief,2018-0058,2018-03-14,11:36,2018-03-13,16:30,Bldg. 51,University of North Florida
Grand Theft,2018-0054,2018-03-12,15:28,2018-03-12,15:00,Lot 44,University of North Florida
Grand Theft - From,2018-0054,2018-03-12,13:56,2018-03-09,15:00,"1 UNF Drive, Lot 44",University of North Florida
Information,2018-0053,2018-03-11,09:51,2018-03-01,08:00,Off Campus,University of North Florida
Schemes To Defraud,2018-0052,2018-03-09,17:05,2018-03-06,15:29,Hicks Hall,University of North Florida
Petit Theft,2018-0051,2018-03-09,15:06,2018-01-26,15:00,Osprey Hall,University of North Florida
Petit Theft,2018-0049,2018-03-09,12:46,2018-02-16,21:00,Amphitheater,University of North Florida
Damaged Property,2018-0047,2018-03-08,15:44,2018-03-06,17:00,Bldg 58,University of North Florida
Grand Theft,2018-0045,2018-03-08,00:51,2018-03-06,09:00,Bldg. 43,University of North Florida
Grand Theft,2018-0045,2018-03-07,03:02,2018-03-06,09:00,Bldg. 43,University of North Florida
Strong Arm Robbery -,2017-0250,2018-03-06,10:47,2017-11-20,12:15,Lot 11,University of North Florida
Criminal Mischief,2018-0043,2018-03-06,09:53,2018-03-02,03:00,Bldg. 15,University of North Florida
Burglary to Structure,2018-0043,2018-03-05,10:58,2018-03-02,03:00,Bldg. 15,University of North Florida
Suicide Attempt,2018-0040,2018-03-01,22:35,2018-03-01,19:04,Osprey Fountain,University of North Florida
Possession of marijuana,2018-0032,2018-02-27,23:00,2018-02-27,23:00,Osprey Village,University of North Florida
Petit Theft,2018-0035,2018-02-23,06:53,2018-02-22,15:00,Bldg 17,University of North Florida
Indecent Exposure,2018-0036,2018-02-22,23:06,2018-02-22,20:05,Lot 18,University of North Florida
Annoying/Abusive/Thr,2018-0034,2018-02-22,17:00,2018-02-22,12:20,Bldg. 50,University of North Florida
Hit & Run w/Injuries,2018-0033,2018-02-22,12:26,2018-02-20,18:30,UNF Dr @ Crosswalk,University of North Florida
Criminal Mischief,2018-0028,2018-02-21,10:31,2018-02-17,18:00,Osprey Fountains Lot,University of North Florida
Criminal Mischief,2018-0028,2018-02-19,14:20,2018-02-17,18:00,Osprey Fountains,University of North Florida
Grand Theft,2018-0026,2018-02-17,22:12,2018-02-15,12:00,Bldg 12,University of North Florida
Child Neglect,2018-0023,2018-02-10,16:52,2018-02-10,11:35,Garage 38,University of North Florida
Burglary to Vehicle,2018-0021,2018-02-09,14:54,2018-02-08,22:30,Osprey Flats Lot,University of North Florida
Possess Marijuana,2018-0020,2018-02-09,00:45,2018-02-09,00:45,Osprey Hall,University of North Florida
Grand Theft,2018-0019,2018-02-08,17:01,2018-02-08,13:35,Bldg 58W,University of North Florida
Expired Tag,A0Y5QIP,2018-02-03,15:40,2018-02-03,15:40,Osprey Ridge &,University of North Florida
Driving with suspended license,A0Y5NS9,2018-01-22,12:25,NA,NA,UNF Dr/Alumni Dr,University of North Florida
Petit Theft,2018-0006,2018-01-16,22:25,2018-01-16,18:45,Bldg 16,University of North Florida
Petit Theft,2018-0005,2018-01-11,15:11,2018-01-05,08:00,Garage 44,University of North Florida
Petit Theft,2018-0004,2018-01-10,17:37,2017-12-07,20:00,Osprey Crossings,University of North Florida
Battery,2017-0250,2018-01-09,01:44,2018-01-08,20:45,UNF Dr @ Lot 9,University of North Florida
Petit Theft,2017-0267,2017-12-14,21:50,2017-12-14,07:00,The Flats,University of North Florida
Grand Theft,2017-0266,2017-12-13,18:33,2017-12-13,10:30,Bldg 43,University of North Florida
Petit Theft,2017-0264,2017-12-07,11:16,2017-12-06,14:10,Bldg 9,University of North Florida
Grand Theft,2017-0261,2017-12-05,15:19,2017-12-04,22:20,The Flats,University of North Florida
Petit Theft,2017-0260,2017-12-05,12:15,2017-12-03,18:00,Bldg. 61,University of North Florida
Petit Theft,2017-0260,2017-12-04,16:36,2017-12-03,18:00,Bldg. 61,University of North Florida
No Driver's License On,9815-GYD,2017-12-02,20:59,NA,NA,1 UNF Dr/Eco Rd Citation Issued,University of North Florida
Driving While License,9745-GYD,2017-12-02,10:05,NA,NA,1 UNF Dr Citation Issued,University of North Florida
Driving While License suspended,9745-GYD,2017-12-02,10:05,NA,NA,1 UNF Dr Citation Issued,University of North Florida
Unlawful Speed,A0Y5NRP,2017-12-01,11:25,NA,NA,4600 Osprey Ridge Rd Citation Issued,University of North Florida
Driving While License,A0Y5NQP,2017-12-01,09:40,NA,NA,Eco Rd/N Ent Rd Citation Issued,University of North Florida
Careless Driving,A0Y55WP,2017-11-28,16:55,2017-11-28,16:55,Lot 2 Citation Issued,University of North Florida
Petit Theft,2017-0235,2017-11-13,14:33,2017-11-03,01:35,Osprey Fountains,University of North Florida
Information,2017-0241,2017-11-08,21:20,2017-11-08,16:30,Bldg 42,University of North Florida
Home Invasion,2017-0240,2017-11-07,23:27,2017-11-07,19:15,UNF Dorm Room,University of North Florida
Information,2017-0239,2017-11-07,21:05,2017-11-07,18:42,Bldg 12,University of North Florida
Information,2017-0238,2017-11-07,13:08,2017-11-07,10:00,The Flats,University of North Florida
Criminal Mischief,2017-0237,2017-11-07,09:19,2017-11-06,07:00,Bldg 12,University of North Florida
Information,2017-0236,2017-11-05,15:32,2017-11-05,14:00,Osprey Crossings,University of North Florida
Petit Theft,2017-0235,2017-11-03,17:15,2017-11-03,01:35,Osprey Fountains,University of North Florida
Possess Over 20 grams of marijuana,2017-0233,2017-11-01,01:42,2017-10-31,23:32,4600 Osprey Rd,University of North Florida
Ran Into Rear of,A0Y55VP,2017-10-31,12:50,2017-10-31,12:50,I-295NB Exit Ramp @,University of North Florida
Ran Stop Sign,A0Y5PVP,2017-10-30,11:40,2017-10-30,11:40,UNF Dr @ Lot 46,University of North Florida
Improper Turn From,2017-0230,2017-10-28,13:30,2017-10-28,13:30,UNF Dr Under State,University of North Florida
Expired Tag-More,A0Y55TP,2017-10-28,11:20,2017-10-28,11:20,Eco Rd/Roundabout,University of North Florida
Driving While License suspended,A0Y55UP,2017-10-28,11:20,2017-10-28,11:20,Eco Rd/Roundabout,University of North Florida
Posess  Over 20 GR marjiuana,2017-0228,2017-10-25,03:10,2017-10-25,03:10,Osprey Cove,University of North Florida
Information,2017-0227,2017-10-24,16:39,2017-10-24,07:19,Bldg. 57,University of North Florida
No Valid DL,9742-GYD,2017-10-24,09:45,2017-10-24,09:45,1 UNF Dr/Eco Rd,University of North Florida
Violation of Right of,A0Y5PRP,2017-10-23,14:45,2017-10-23,14:45,N Entrance/Central,University of North Florida
Violation of Right of,A0Y5PQP,2017-10-23,14:25,2017-10-23,14:25,N. Entrance/Central Citation Issued,University of North Florida
Expired Tag,A0Y5POP,2017-10-22,14:40,2017-10-22,14:40,Beach Blvd/Central Citation Issued,University of North Florida
No Valid Driver's license,A0Y5PPP,2017-10-22,14:40,2017-10-22,14:40,Beach Blvd/Central Citation Issued,University of North Florida
Lost Property,2017-0222,2017-10-20,17:35,2017-10-20,08:30,Bldg 12 Closed,University of North Florida
Assault/Agg/with a,2017-0221,2017-10-20,16:30,2017-10-19,19:50,Osprey Fountains Cleared by arrest,University of North Florida
Assault/Agg/with a,2017-0221,2017-10-20,05:22,2017-10-19,19:50,Osprey Fountains Cleared by arrest,University of North Florida
Information,2017-0198,2017-10-18,19:29,2017-09-27,21:21,Osprey Fountains Closed,University of North Florida
Petit Theft,2017-0195,2017-10-18,15:50,2017-09-10,21:00,Osprey Fountains Suspended,University of North Florida
Unlawful Speed,A0Y5NKP,2017-10-17,13:50,2017-10-17,13:50,4600 Osprey Ridge Rd Citation Issued,University of North Florida
Driving While License suspended,A0Y5M4P,2017-10-17,09:50,2017-10-17,09:50,Varsity Lane 300 Ft Citation Issued,University of North Florida
Grand Theft,2017-0220,2017-10-13,17:45,2017-10-12,15:00,Bldg 15/3400 Open,University of North Florida
Burglary To Vehicle,2017-0216,2017-10-13,10:06,2017-10-11,01:00,Lot 12 Unfounded,University of North Florida
Possess Over 20 grams of marijuana,207-0218,2017-10-13,02:03,2017-10-12,22:41,Osprey Crossings Cleared by arrest,University of North Florida
Improper Left Turn,A0Y5NJP,2017-10-12,15:45,2017-10-12,14:07,1 UNF Dr. Lot 18 Citation Issued,University of North Florida
Information,2017-0214,2017-10-12,00:23,2017-10-12,15:00,Osprey Crossings Open,University of North Florida
Information,2017-0213,2017-10-11,02:59,2017-10-09,12:50,Bldg 17 Closed,University of North Florida
Criminal Mischief,2017-0210,2017-10-08,17:36,2017-10-08,01:30,Osprey Landing X314 Suspended,University of North Florida
Property -Damaged,2017-0209,2017-10-06,08:54,NA,NA,Bldg 59 Closed,University of North Florida
Petit Theft,2017-0205,2017-10-04,18:05,2017-09-19,15:00,Bldg. 8,University of North Florida
Property-Damaged,2017-0201,2017-10-02,12:32,2017-09-29,14:00,Bldg. 58W,University of North Florida
Battery,2017-0145,2017-10-02,11:24,2017-07-19,11:50,Bldg. 14,University of North Florida
Grand Theft,2017-0200,2017-09-29,00:04,2017-09-28,18:00,Bldg 16,University of North Florida
Grand Theft,2017-0199,2017-09-28,17:09,2017-09-15,08:28,Osprey Flats,University of North Florida
Information,2017-0198,2017-09-28,01:10,2017-09-27,21:21,Osprey Fountains,University of North Florida
Employee Theft,2017-0097,2017-09-27,09:01,NA,NA,1 UNF Dr,University of North Florida
Property Found,2017-0190,2017-09-26,17:02,2017-06-26,08:00,Bldg. 8,University of North Florida
Petit Theft,2017-0192,2017-09-23,13:47,2017-09-21,15:00,Lot 11,University of North Florida
Petit Theft,2017-0189,2017-09-22,02:17,2017-09-21,11:05,Lot 15,University of North Florida
Property Damaged,2017-0187,2017-09-21,13:11,2017-09-21,06:45,Bldg. 64,University of North Florida
Property Lost,2017-0185,2017-09-19,12:50,2017-09-06,11:00,Bdlg 16,University of North Florida
Criminal Mischief,2017-0182,2017-09-16,11:50,2017-09-07,14:00,Lot 18,University of North Florida
Petit Theft,2017-0175,2017-09-15,23:41,2017-09-01,18:00,Bldg. 16,University of North Florida
Battery--Touch or,2017-1079,2017-09-07,09:36,2017-09-07,09:00,Osprey Village,University of North Florida
Battery--Touch or,2017-0179,2017-09-07,09:36,2017-09-07,09:00,Osprey Village,University of North Florida
Grand Theft,2017-0178,2017-09-06,17:37,2017-09-05,23:00,Osprey Village,University of North Florida
Grand Theft,2017-0177,2017-09-06,17:08,2017-09-05,19:00,Osprey Village,University of North Florida
Petit Theft,2017-0175,2017-09-01,21:57,2017-09-01,18:00,Bldg. 16,University of North Florida
Petit Theft,2017-0175,2017-09-01,18:45,2017-09-01,18:00,Building 16,University of North Florida
Petit Theft,2017-0174,2017-09-01,15:25,2017-08-26,10:00,Osprey Village,University of North Florida
Assault/Agg/with a,2017-0172,2017-09-01,00:32,2017-08-31,23:55,Osprey Cove Bldg V,University of North Florida
Petit Theft-Bicycle,2017-0169,2017-08-30,18:36,2017-08-28,21:00,Osprey Cove Bldg. U,University of North Florida
Revoked DL,2017-0168,2017-08-29,21:30,2017-08-29,21:30,UNF Dr  @ Eco Rd,University of North Florida
Petit Theft-Bike,2017-0166,2017-08-28,16:08,2017-08-27,19:00,Osprey Fountains,University of North Florida
Information,2017-0141,2017-08-28,14:33,2017-05-19,15:15,Off-Campus,University of North Florida
Criminal Mischief,2017-0165,2017-08-26,23:02,2017-08-26,10:00,Lot 15,University of North Florida
Battery,2017-0164,2017-08-23,23:35,2017-08-23,19:15,Osprey Crossings,University of North Florida
Battery,2017-0163,2017-08-23,14:39,2017-08-23,12:10,Garage 44,University of North Florida
Information,2017-0159,2017-08-21,13:47,2017-08-21,09:25,Osprey Landing,University of North Florida
Expired Tag,8958-GYD,2017-08-17,12:25,2017-08-17,12:25,Kernan Blvd and,University of North Florida
Careless Driving,8957-GYD,2017-08-17,09:50,2017-08-17,09:50,Lot #47 Parking,University of North Florida
Property Damaged,2017-0155,2017-08-14,11:55,2017-08-14,08:00,Lot # 100,University of North Florida
Petit Theft,2017-0146,2017-08-08,07:21,2017-07-19,16:00,Bldg 12,University of North Florida
Battery,2017-0145,2017-08-08,07:13,2017-07-19,11:50,Bldg 14,University of North Florida
Obscene Telephone,2017-0148,2017-08-03,10:45,2017-07-26,10:30,Bldg 15,University of North Florida
Sexual Battery,2017-0044,2017-08-02,14:31,2017-02-16,22:30,1 UNF Dr,University of North Florida
Property Damaged,2017-0153,2017-08-02,00:50,2017-08-01,18:55,Garage 44,University of North Florida
Possess Heroin,2017-0152,2017-08-01,11:15,2017-07-31,14:22,Osprey Fountains,University of North Florida
Evidence--Tampering,2017-0152,2017-07-31,14:22,2017-07-31,14:22,Off-campus,University of North Florida
Petit Theft,2017-0151,2017-07-31,12:18,2017-07-24,17:00,Bldg. 12,University of North Florida
Traffic Crash,2017-0150,2017-07-30,16:12,2017-07-30,16:11,I-295 NB Exit Ramp,University of North Florida
Traffic Crash,2017-0149,2017-07-28,11:10,2017-07-28,11:09,Lot 9 UNF Dr,University of North Florida
Obscene Phone Call,2017-0148,2017-07-27,11:45,2017-07-26,10:30,Bldg 15,University of North Florida
Sexual Battery,2017-0029,2017-07-25,14:58,2017-01-31,00:30,Osprey Hall,University of North Florida
Criminal Mischief,2017-0147,2017-07-25,09:07,2017-07-24,09:30,Hicks Hall Bldg. 53,University of North Florida
Criminal Mischief,2017-0146,2017-07-21,14:23,2017-07-19,16:00,Bldg 12,University of North Florida
Smuggle,2015-0319,2017-07-20,09:43,2015-10-15,14:32,18100 UNF Dr N,University of North Florida
Battery,2017-0145,2017-07-19,18:07,2017-07-19,11:50,Bldg. 14,University of North Florida
Property Damaged,2017-0144,2017-07-14,16:51,2017-07-14,15:45,Bldg 53,University of North Florida
Property Damaged,2017-0142,2017-07-09,11:48,2017-07-09,06:50,Lot 18,University of North Florida
Criminal Mischief,2017-0138,NA,NA,2017-06-30,15:00,Bldg 58,University of North Florida
Information,2017-0141,2017-07-07,12:15,2017-05-19,15:15,Bldg 5,University of North Florida
Petit Theft,2017-0139,2017-07-06,13:19,2017-07-03,14:30,Bldg. 60,University of North Florida
Criminal Mischief,2017-0138,2017-07-02,07:45,2017-06-30,15:00,Bldg 58W,University of North Florida
Petit Theft,2017-0137,2017-06-27,18:00,2017-06-20,12:00,Lot 9,University of North Florida
Petit Theft,2017-0137,2017-06-20,12:00,2017-06-20,13:00,Lot 9,University of North Florida
Information,2017-0136,2017-06-17,17:07,2017-06-17,14:00,UNF Bldg 15,University of North Florida
Grand Theft,2017-0135,2017-06-17,14:27,2017-06-17,10:25,Bldg 45,University of North Florida
Petit Theft,2017-0134,2017-06-16,09:30,2017-06-07,15:00,Bldg 16,University of North Florida
Driving While License,A0Y5LZP,2017-06-15,09:55,2017-06-15,09:55,UNF Dr & Lot 11,University of North Florida
Grand Theft- Bicycle,2017-0122,2017-06-14,07:12,2017-04-27,12:00,Osprey Cove,University of North Florida
Information,2017-0132,2017-06-09,13:48,2017-06-09,13:48,Bldg 57,University of North Florida
Information,2017-0131,2017-06-09,09:54,2017-06-09,09:15,"Bldg 1, Rm 1901",University of North Florida
Damaged Property,2017-0130,2017-06-08,13:50,2017-06-08,08:45,Bldg 64,University of North Florida
Grand Theft -Bicycle,2017-0122,2017-05-13,15:04,2017-04-27,12:00,Osprey Cove,University of North Florida
Grand Theft,2017-0118,2017-05-07,20:46,2017-05-07,17:00,Lot 100,University of North Florida
Grand Theft,2017-0111,2017-05-06,12:59,2017-04-28,15:15,Osprey Landing V,University of North Florida
Petit Theft-Bicycle,2017-0117,2017-05-05,12:27,2017-05-04,16:00,Osprey Hall,University of North Florida
Information,2017-0116,2017-05-04,13:17,2016-09-01,06:00,Bldg 46,University of North Florida
Grand Theft,2017-0114,2017-05-03,15:12,2017-05-02,13:15,Lot 100,University of North Florida
Grand Theft,2017-0115,2017-05-02,21:00,2017-05-01,10:00,Bldg 45,University of North Florida
Grand Theft,2017-0114,2017-05-02,15:58,2017-05-02,13:15,Lot 100,University of North Florida
Graffiti,2017-0113,2017-05-01,11:30,2017-04-28,17:00,Bldg. 2,University of North Florida
