case_number,date_reported,time_reported,incident,location,university,time_occurred,date_occurred
21-012,2021-01-21,20:15,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Ward Hall,Rollins College,NA,NA
21-011,2021-01-21,11:25,FIRE ALARM - FIRE,Rollins Parking Garage,Rollins College,NA,NA
21-009,2021-01-20,16:00,CYBER STALKING,Campus Safety Office,Rollins College,NA,NA
21-008,2021-01-17,16:35,FIRE ALARM - NO FIRE,Corrin Hall,Rollins College,NA,NA
21-007,2021-01-16,00:00,FIRE ALARM - NO FIRE,Olin Library,Rollins College,NA,NA
21-003,2021-01-13,15:00,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
NA,NA,NA,NA,NA,Rollins College,NA,NA
20-319,2020-12-20,15:00,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
20-318,2020-12-19,13:20,"REFERRAL, DRUG",Corrin Hall,Rollins College,NA,NA
20-317,2020-12-19,11:15,"REFERRAL, DRUG",Lakeside,Rollins College,NA,NA
20-314,2020-12-16,12:15,FIRE ALARM - NO FIRE,Cornell Fine Arts Center/ CFAC,Rollins College,NA,NA
20-313,2020-12-15,17:00,FIRE ALARM - NO FIRE,Bush Science Center,Rollins College,NA,NA
20-312,2020-12-10,21:00,"REFERRAL, DRUG",Hooker Hall,Rollins College,NA,NA
20-311,2020-12-10,03:15,"REFERRAL, DRUG",Lakeside,Rollins College,NA,NA
20-307,2020-12-06,23:05,FIRE ALARM - NO FIRE,Fox Hall,Rollins College,NA,NA
20-306,2020-12-05,03:00,"THEFT, MOTOR VEHICLE-OTHER",Ollie Avenue Garage,Rollins College,NA,NA
20-303,2020-12-02,13:25,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-297,2020-11-23,13:45,LARCENY/ THEFT,Lakeside,Rollins College,NA,NA
20-296,2020-11-20,13:40,FIRE ALARM - NO FIRE,Sutton Apartments,Rollins College,NA,NA
20-294,2020-11-17,20:15,"THEFT, MOTOR VEHICLE-AUTO",Hauck Hall,Rollins College,NA,NA
20-292,2020-11-17,14:35,HARASSMENT,SunTrust Garage,Rollins College,NA,NA
20-290,2020-11-16,17:50,HARASSMENT,Ward Hall,Rollins College,NA,NA
20-286,2020-11-13,16:05,LARCENY/ THEFT,Pugsley Hall,Rollins College,NA,NA
20-284,2020-11-10,21:00,FIRE ALARM - NO FIRE,Keene Music,Rollins College,NA,NA
20-279,2020-11-07,19:00,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-277,2020-11-06,15:20,TRESPASS,Cornell Fine Arts Museum/ CFAM,Rollins College,NA,NA
20-271,2020-11-01,16:40,FIRE ALARM - FIRE,Lakeside,Rollins College,NA,NA
20-269,2020-10-30,20:10,"THEFT, MOTOR VEHICLE-OTHER",SunTrust Garage,Rollins College,NA,NA
20-266,2020-10-27,10:50,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-253,2020-10-17,08:00,LARCENY/ THEFT,Barker House,Rollins College,NA,NA
20-257,2020-10-16,19:45,FIRE ALARM - NO FIRE,SunTrust Plaza,Rollins College,NA,NA
20-251,2020-10-12,14:30,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-250,2020-10-11,05:30,"ASSAULT, SEXUAL - RAPE",Lyman Hall,Rollins College,NA,NA
20-248,2020-10-11,02:05,POLICE ASSIST,Off Campus,Rollins College,NA,NA
20-245,2020-10-09,15:30,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-254,2020-10-09,00:00,"ASSAULT, SIMPLE",Hume House/CDC,Rollins College,NA,NA
20-240,2020-10-07,18:05,TRESPASS,170 W. Fairbanks Bldg,Rollins College,NA,NA
20-234,2020-10-04,10:10,FIRE ALARM - FIRE,Cross Hall,Rollins College,NA,NA
20-233,2020-10-03,20:05,FIRE ALARM - NO FIRE,Rice Family Pavilion,Rollins College,NA,NA
20-232,2020-10-03,07:55,FIRE ALARM - NO FIRE,"Winter Park Plaza, 330",Rollins College,NA,NA
20-227,2020-10-01,02:35,TRESPASS,170 W. Fairbanks Bldg,Rollins College,NA,NA
20-226,2020-09-30,13:25,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-223,2020-09-26,21:20,"REFERRAL, DRUG",Pugsley Hall,Rollins College,NA,NA
20-218,2020-09-24,00:15,"REFERRAL, ALCOHOL",Corrin Hall,Rollins College,NA,NA
20-219,2020-09-24,00:00,FIRE ALARM - NO FIRE,Sutton Apartments,Rollins College,NA,NA
20-214,2020-09-21,08:45,HARASSMENT,Mayflower Hall,Rollins College,NA,NA
20-216,2020-09-17,13:00,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-212,2020-09-16,17:30,CYBER STALKING,Campus Safety Office,Rollins College,NA,NA
20-208,2020-09-14,08:25,HAZMAT,Cornell Fine Arts Center/ CFAC,Rollins College,NA,NA
20-205,2020-09-07,14:50,FIRE ALARM - NO FIRE,Pugsley Hall,Rollins College,NA,NA
20-202,2020-09-03,10:15,HAZMAT,Holt Ave./ Campus,Rollins College,NA,NA
20-198,2020-08-29,15:45,TRESPASS,Sutton Pool,Rollins College,NA,NA
20-197,2020-08-29,10:50,FIRE ALARM - NO FIRE,Rice Family Pavilion,Rollins College,NA,NA
20-196,2020-08-28,01:00,TRESPASS,170 W. Fairbanks Bldg,Rollins College,NA,NA
20-195,2020-08-27,19:10,FIRE ALARM - NO FIRE,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
20-194,2020-08-27,13:30,VANDALISM,Lakeside,Rollins College,NA,NA
20-192,2020-08-25,00:00,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-191,2020-08-22,09:50,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-182,2020-08-09,10:20,LARCENY/ THEFT,170 W. Fairbanks Bldg,Rollins College,NA,NA
20-181,2020-08-04,14:35,"BURGLARY, FORCIBLE ENTRY",Cornell Social Science/ CSS,Rollins College,NA,NA
20-180,2020-08-03,14:50,HAZMAT,Alfond Pool,Rollins College,NA,NA
20-179,2020-08-01,00:00,LARCENY/ THEFT,"Winter Park Plaza, 330",Rollins College,NA,NA
20-178,2020-07-24,18:35,TRESPASS,Sutton Pool,Rollins College,NA,NA
20-173,2020-07-15,10:00,"BURGLARY, ATTEMPTED FORCIBLE ENTRY","Boat House, Alfond",Rollins College,NA,NA
20-170,2020-07-13,13:25,FIRE ALARM - NO FIRE,Ward Hall,Rollins College,NA,NA
20-166,2020-07-01,02:45,FIRE ALARM - NO FIRE,Alfond Sports Center,Rollins College,NA,NA
20-164,2020-06-30,07:15,FIRE ALARM - NO FIRE,Alfond Sports Center,Rollins College,NA,NA
20-157,2020-06-11,20:45,VANDALISM,Campus Grounds,Rollins College,NA,NA
20-154,2020-06-04,13:50,FIRE ALARM - NO FIRE,Ward Hall,Rollins College,NA,NA
20-152,2020-06-01,21:13,VANDALISM,Campus Grounds,Rollins College,NA,NA
20-153,2020-06-01,03:49,FIRE ALARM - NO FIRE,Pugsley Hall,Rollins College,NA,NA
20-151,2020-05-30,19:45,FIRE ALARM - NO FIRE,"Winter Park Plaza, 330",Rollins College,NA,NA
20-149,2020-05-22,08:30,FIRE ALARM - NO FIRE,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
20-148,2020-05-20,04:30,FIRE ALARM - NO FIRE,Pinehurst Cottage,Rollins College,NA,NA
20-147,2020-05-18,13:00,FIRE ALARM - NO FIRE,Fox Hall,Rollins College,NA,NA
20-146,2020-05-16,14:45,LARCENY/ THEFT,Cornell Social Science/ CSS,Rollins College,NA,NA
20-143,2020-05-06,11:30,HAZMAT,Cornell Fine Arts Center/ CFAC,Rollins College,NA,NA
20-140,2020-04-24,06:59,FIRE ALARM - NO FIRE,Ward Hall,Rollins College,NA,NA
20-139,2020-04-23,12:48,FIRE ALARM - NO FIRE,Sutton Apartments,Rollins College,NA,NA
20-137,2020-04-15,15:04,LARCENY/ THEFT,The Cottage,Rollins College,NA,NA
20-132,2020-04-09,23:26,LARCENY/ THEFT,Kathleen W. Rollins Hall,Rollins College,NA,NA
20-133,2020-04-08,10:20,LARCENY/ THEFT,"Winter Park Plaza, 330",Rollins College,NA,NA
20-131,2020-03-24,01:40,TRESPASS,Campus Grounds,Rollins College,NA,NA
20-129,2020-03-22,20:15,"ASSAULT, SEXUAL - FONDLING",Holt Hall,Rollins College,NA,NA
20-128,2020-03-20,14:30,LARCENY/ THEFT,Elizabeth Hall,Rollins College,NA,NA
20-126,2020-03-17,14:00,LARCENY/ THEFT,Pugsley Hall,Rollins College,NA,NA
20-122,2020-03-14,02:15,TRESPASS,Sutton Pool,Rollins College,NA,NA
20-112,2020-03-09,20:34,"HARASSMENT, SEXUAL OR GENDER-BASED",Alfond Sports Center,Rollins College,NA,NA
20-104,2020-03-06,11:38,VANDALISM,Alfond Sports Center,Rollins College,NA,NA
20-102,2020-03-06,07:46,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
20-099,2020-03-03,23:45,POLICE ASSIST,Off Campus,Rollins College,NA,NA
20-097,2020-03-03,15:15,INTIMIDATION,Sutton Apartments,Rollins College,NA,NA
20-096,2020-03-03,09:33,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
20-094,2020-03-02,21:15,"REFERRAL, DRUG",Strong Hall,Rollins College,NA,NA
20-095,2020-03-02,07:13,"ASSAULT, SIMPLE",Public,Rollins College,NA,NA
20-090,2020-02-28,05:09,FIRE ALARM - NO FIRE,Crummer Hall,Rollins College,NA,NA
20-084,2020-02-25,15:00,"HARASSMENT, SEXUAL OR GENDER-BASED",Alfond Inn,Rollins College,NA,NA
20-076,2020-02-17,10:37,HARASSMENT,Rex Beach Hall,Rollins College,NA,NA
20-066,2020-02-12,20:15,LARCENY/ THEFT,Cornell Social Science/ CSS,Rollins College,NA,NA
20-063,2020-02-11,16:38,INTIMIDATION,Olin Library,Rollins College,NA,NA
20-048,2020-02-05,09:49,"BURGLARY, FORCIBLE ENTRY",Softball Stadium/ Lake Highland Park,Rollins College,NA,NA
20-044,2020-02-04,12:30,HARASSMENT,Holt Hall,Rollins College,NA,NA
20-045,2020-02-04,11:30,LARCENY/ THEFT,Cornell Social Science/ CSS,Rollins College,NA,NA
20-043,2020-02-04,01:08,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
20-039,2020-01-31,12:49,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",SunTrust Plaza,Rollins College,NA,NA
20-038,2020-01-31,09:42,VANDALISM,Alfond Sports Center,Rollins College,NA,NA
20-034,2020-01-29,10:20,INTIMIDATION,Sutton Apartments,Rollins College,NA,NA
20-032,2020-01-27,17:03,STALKING,"Park Ave, Campus",Rollins College,NA,NA
20-029,2020-01-24,20:00,STALKING,Kathleen W. Rollins Hall,Rollins College,NA,NA
20-027,2020-01-24,08:00,HAZING,Campus Grounds,Rollins College,NA,NA
20-026,2020-01-24,00:04,FIRE ALARM - NO FIRE,Corrin Hall,Rollins College,NA,NA
20-025,2020-01-23,17:30,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
20-020,2020-01-22,19:04,TRESPASS,Olin Library,Rollins College,NA,NA
20-013,2020-01-18,13:30,"REFERRAL, ALCOHOL",Strong Hall,Rollins College,NA,NA
20-008,2020-01-16,11:09,LARCENY/ THEFT,Off Campus,Rollins College,NA,NA
20-003,2020-01-09,02:00,"BURGLARY, CONVEYANCE",Rollins Parking Garage,Rollins College,NA,NA
20-025,2020-01-02,10:48,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
NA,NA,NA,NA,NA,Rollins College,NA,NA
19-523,2019-12-19,14:00,TRESPASS,Campus Grounds,Rollins College,NA,NA
19-522,2019-12-19,09:39,FIRE ALARM - NO FIRE,Corrin Hall,Rollins College,NA,NA
19-521,2019-12-16,12:40,"ARSON, OTHER",Campus Grounds,Rollins College,NA,NA
19-513,2019-12-11,10:05,LARCENY/ THEFT,Off Campus,Rollins College,NA,NA
19-515,2019-12-10,18:15,LARCENY/ THEFT,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
19-511,2019-12-09,23:55,LARCENY/ THEFT,Elizabeth Hall,Rollins College,NA,NA
19-509,2019-12-08,22:15,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
19-508,2019-12-08,21:15,HARASSMENT,Olin Library,Rollins College,NA,NA
19-505,2019-12-07,19:38,FIRE ALARM - NO FIRE,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
19-504,2019-12-07,11:45,TRESPASS,Mills Lawn,Rollins College,NA,NA
19-498,2019-12-06,03:39,VANDALISM,Pugsley Hall,Rollins College,NA,NA
19-492,2019-12-02,11:15,BIAS,Rollins Parking Garage,Rollins College,NA,NA
19-486,2019-11-24,19:10,LARCENY/ THEFT,Sutton Apartments,Rollins College,NA,NA
19-485,2019-11-24,09:15,VANDALISM,Alfond Pool,Rollins College,NA,NA
19-482,2019-11-22,15:30,STALKING,Olin Library,Rollins College,NA,NA
19-480,2019-11-22,01:56,"REFERRAL, DRUG",Hooker Hall,Rollins College,NA,NA
19-478,2019-11-21,08:30,"REFERRAL, DRUG",Hooker Hall,Rollins College,NA,NA
19-475,2019-11-20,16:13,FIRE ALARM - NO FIRE,Sutton Apartments,Rollins College,NA,NA
19-474,2019-11-19,19:33,"HARASSMENT, SEXUAL OR GENDER-BASED",Non-Campus,Rollins College,NA,NA
19-472,2019-11-19,13:55,LARCENY/ THEFT,Off Campus,Rollins College,NA,NA
19-471,2019-11-19,07:39,FIRE ALARM - NO FIRE,Rollins Parking Garage,Rollins College,NA,NA
19-470,2019-11-18,18:15,LARCENY/ THEFT,Holt Ave./ Campus,Rollins College,NA,NA
19-467,2019-11-17,09:45,FIRE ALARM - NO FIRE,Hauck Hall,Rollins College,NA,NA
19-463,2019-11-15,15:45,LARCENY/ THEFT,"Boat House, Bradley",Rollins College,NA,NA
19-461,2019-11-13,21:45,LARCENY/ THEFT,French Ave.,Rollins College,NA,NA
19-460,2019-11-13,12:00,FRAUD,Sutton Apartments,Rollins College,NA,NA
19-455,2019-11-12,07:30,VANDALISM,Campus Grounds,Rollins College,NA,NA
19-454,2019-11-10,20:30,LARCENY/ THEFT,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
19-453,2019-11-10,14:40,LARCENY/ THEFT,New England Housing,Rollins College,NA,NA
19-450,2019-11-08,22:15,"REFERRAL, DRUG",Cross Hall,Rollins College,NA,NA
19-447,2019-11-08,15:30,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
19-446,2019-11-07,20:15,LARCENY/ THEFT,Sutton Apartments,Rollins College,NA,NA
19-443,2019-11-06,12:39,"REFERRAL, DRUG",Elizabeth Hall,Rollins College,NA,NA
19-440,2019-11-05,10:56,TRESPASS,"Winter Park Plaza, 330",Rollins College,NA,NA
19-438,2019-11-04,21:15,LARCENY/ THEFT,Alfond Sports Center,Rollins College,NA,NA
19-431,2019-11-02,13:30,LARCENY/ THEFT,Elizabeth Hall,Rollins College,NA,NA
19-430,2019-11-02,09:45,LARCENY/ THEFT,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
19-428,2019-10-31,15:00,VANDALISM,Alfond Sports Center,Rollins College,NA,NA
19-420,2019-10-28,17:26,TRESPASS,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
19-413,2019-10-25,14:30,HARASSMENT,Strong Hall,Rollins College,NA,NA
19-409,2019-10-22,19:17,"ASSAULT, SEXUAL - RAPE",Ward Hall,Rollins College,NA,NA
19-408,2019-10-22,15:23,FIRE ALARM - NO FIRE,Welbourne Ave.,Rollins College,NA,NA
19-407,2019-10-22,14:26,INTIMIDATION,Elizabeth Hall,Rollins College,NA,NA
19-405,2019-10-21,08:24,HAZMAT,Cornell Fine Arts Center/ CFAC,Rollins College,NA,NA
19-404,2019-10-18,20:42,"REFERRAL, ALCOHOL",Elizabeth Hall,Rollins College,NA,NA
19-403,2019-10-18,17:15,FIRE ALARM - NO FIRE,The Cottage,Rollins College,NA,NA
19-402,2019-10-18,10:00,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Bush Science Center,Rollins College,NA,NA
19-395,2019-10-13,02:58,FIRE ALARM - NO FIRE,Sutton Apartments,Rollins College,NA,NA
19-393,2019-10-13,00:44,FIRE ALARM - NO FIRE,The Cottage,Rollins College,NA,NA
19-391,2019-10-12,00:01,TRESPASS,Wellness Center,Rollins College,NA,NA
19-386,2019-10-10,21:30,FIRE ALARM - NO FIRE,Crummer Hall,Rollins College,NA,NA
19-387,2019-10-10,10:16,VANDALISM,Ollie Avenue Garage,Rollins College,NA,NA
19-381,2019-10-09,15:00,FIRE ALARM - NO FIRE,Crummer Hall,Rollins College,NA,NA
19-379,2019-10-09,00:19,TRESPASS,Wellness Center,Rollins College,NA,NA
19-375,2019-10-08,11:10,VANDALISM,Elizabeth Hall,Rollins College,NA,NA
19-378,2019-10-08,09:34,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
19-372,2019-10-07,16:15,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
19-374,2019-10-07,03:06,FIRE ALARM - NO FIRE,Pinehurst Cottage,Rollins College,NA,NA
19-367,2019-10-04,20:30,"REFERRAL, ALCOHOL",Hooker Hall,Rollins College,NA,NA
19-369,2019-10-04,18:00,LARCENY/ THEFT,Alfond Sports Center,Rollins College,NA,NA
19-365,2019-10-04,17:35,TRESPASS,"Winter Park Plaza, 330",Rollins College,NA,NA
19-364,2019-10-04,14:30,FIRE ALARM - NO FIRE,Crummer Hall,Rollins College,NA,NA
19-385,2019-10-03,10:41,HARASSMENT,Alfond Sports Center,Rollins College,NA,NA
19-359,2019-10-02,12:00,"REFERRAL, DRUG",Ward Hall,Rollins College,NA,NA
19-353,2019-09-27,18:30,FRAUD,Campus Grounds,Rollins College,NA,NA
19-348,2019-09-26,03:30,FALSE ID,Cross Hall,Rollins College,NA,NA
19-346,2019-09-25,22:00,DATING VIOLENCE,Warren Administration Bldg,Rollins College,NA,NA
19-344,2019-09-24,19:00,STALKING,Ollie Ave.,Rollins College,NA,NA
19-340,2019-09-24,15:15,FALSE ID,Rollins Parking Garage,Rollins College,NA,NA
19-339,2019-09-24,09:00,LARCENY/ THEFT,Rex Beach Hall,Rollins College,NA,NA
19-351,2019-09-23,21:00,"ASSAULT, SIMPLE",Rollins Hall,Rollins College,NA,NA
19-332,2019-09-21,10:45,FIRE ALARM - NO FIRE,SunTrust Garage,Rollins College,NA,NA
19-329,2019-09-21,00:21,FIRE ALARM - NO FIRE,Elizabeth Hall,Rollins College,NA,NA
19-324,2019-09-17,22:00,VANDALISM,Hooker Hall,Rollins College,NA,NA
19-322,2019-09-16,17:20,ARREST,Olin Library,Rollins College,NA,NA
19-304,2019-09-09,20:30,LARCENY/ THEFT,Copeland Tennis Stadium,Rollins College,NA,NA
19-302,2019-09-07,19:30,VANDALISM,Elizabeth Hall,Rollins College,NA,NA
19-300,2019-09-07,01:30,POLICE ASSIST,Off Campus,Rollins College,NA,NA
19-299,2019-09-06,04:07,VANDALISM,Elizabeth Hall,Rollins College,NA,NA
19-296,2019-09-05,09:30,CRIMINAL MISCHIEF,Rosen Center,Rollins College,NA,NA
19-298,2019-09-05,08:45,"REFERRAL, DRUG",Hooker Hall,Rollins College,NA,NA
19-294,2019-08-30,14:18,"THEFT, MOTOR VEHICLE-OTHER",Rice Family Pavilion,Rollins College,NA,NA
19-292,2019-08-29,13:29,FIRE ALARM - NO FIRE,Ward Hall,Rollins College,NA,NA
19-291,2019-08-29,10:01,FALSE ID,Ward Hall,Rollins College,NA,NA
19-287,2019-08-28,00:02,POLICE ASSIST,Alfond Sports Center,Rollins College,NA,NA
19-285,2019-08-26,23:32,DATING VIOLENCE,Ollie Avenue Garage,Rollins College,NA,NA
19-282,2019-08-24,23:58,FALSE ID,Sutton Apartments,Rollins College,NA,NA
19-276,2019-08-22,23:30,"ARREST, ALCOHOL",Strong Hall,Rollins College,NA,NA
19-274,2019-08-21,20:14,"REFERRAL, DRUG",Ward Hall,Rollins College,NA,NA
19-268,2019-08-19,11:21,FIRE ALARM - NO FIRE,Ollie Avenue Garage,Rollins College,NA,NA
19-262,2019-08-13,10:21,"THEFT, MOTOR VEHICLE-OTHER",The Cottage,Rollins College,NA,NA
19-260,2019-08-08,10:04,"REFERRAL, ALCOHOL",Rosen Center,Rollins College,NA,NA
19-256,2019-08-05,21:55,FIRE ALARM - NO FIRE,Ollie Avenue Garage,Rollins College,NA,NA
19-253,2019-07-24,17:37,"BURGLARY, CONVEYANCE",Welbourne Housing,Rollins College,NA,NA
19-252,2019-07-23,12:58,"ASSAULT, SEXUAL - FONDLING",Off Campus,Rollins College,NA,NA
19-249,2019-07-12,22:55,"THEFT, MOTOR VEHICLE-AUTO",Rollins Hall,Rollins College,NA,NA
19-247,2019-07-10,10:22,HAZMAT,The Cottage,Rollins College,NA,NA
19-245,2019-07-06,17:15,LARCENY/ THEFT,Orlando Hall,Rollins College,NA,NA
19-239,2019-06-27,13:15,FIRE ALARM - NO FIRE,Holt Hall,Rollins College,NA,NA
19-238,2019-06-26,14:10,FIRE ALARM - NO FIRE,Holt Hall,Rollins College,NA,NA
19-237,2019-06-25,09:15,FIRE ALARM - NO FIRE,Holt Hall,Rollins College,NA,NA
19-236,2019-06-25,08:35,FIRE ALARM - NO FIRE,The Cottage,Rollins College,NA,NA
19-235,2019-06-22,07:45,FIRE ALARM - NO FIRE,Hume House/CDC,Rollins College,NA,NA
19-234,2019-06-22,06:23,FIRE ALARM - NO FIRE,Hume House/CDC,Rollins College,NA,NA
19-233,2019-06-21,23:33,FIRE ALARM - NO FIRE,Hume House/CDC,Rollins College,NA,NA
19-231,2019-06-19,16:55,FIRE ALARM - NO FIRE,"Winter Park Plaza, 330",Rollins College,NA,NA
19-229,2019-06-19,12:15,FIRE ALARM - NO FIRE,Olin Library,Rollins College,NA,NA
19-224,2019-06-12,13:43,FIRE ALARM - NO FIRE,"Winter Park Plaza, 330",Rollins College,NA,NA
19-219,2019-06-08,13:09,"REFERRAL, DRUG",Elizabeth Hall,Rollins College,NA,NA
19-218,2019-05-31,18:00,HARASSMENT,Campus Grounds,Rollins College,NA,NA
19-216,2019-05-28,21:13,"ASSAULT, SEXUAL - FONDLING",Campus Grounds,Rollins College,NA,NA
19-207,2019-05-15,07:00,TRESPASS,Cornell Social Science/ CSS,Rollins College,NA,NA
19-206,2019-05-14,00:00,LARCENY/ THEFT,Ward Hall,Rollins College,NA,NA
19-205,2019-05-13,10:19,"REFERRAL, DRUG",Ward Hall,Rollins College,NA,NA
19-201,2019-05-10,15:20,FIRE ALARM - NO FIRE,Holt Hall,Rollins College,NA,NA
19-200,2019-05-09,17:57,LARCENY/ THEFT,Bush Science Center,Rollins College,NA,NA
19-199,2019-05-09,01:45,POLICE ASSIST,Holt Ave./ Non-Campus,Rollins College,NA,NA
19-198,2019-05-08,02:13,FIRE ALARM - FIRE,Elizabeth Hall,Rollins College,NA,NA
19-197,2019-05-07,16:45,LARCENY/ THEFT,Ward Hall,Rollins College,NA,NA
19-196,2019-05-07,12:53,LARCENY/ THEFT,Warren Administration Bldg,Rollins College,NA,NA
19-194,2019-05-04,18:33,"THEFT, MOTOR VEHICLE-OTHER",SunTrust Garage,Rollins College,NA,NA
19-187,2019-04-29,09:46,LARCENY/ THEFT,Olin Library,Rollins College,NA,NA
