case_number,date_reported,time_reported,incident,location,university,time_occurred,date_occurred
19-185,2019-04-28,10:00,LARCENY/ THEFT,Ward Hall,Rollins College,NA,NA
19-183,2019-04-27,23:52,"BURGLARY, CONVEYANCE",Elizabeth Hall,Rollins College,NA,NA
19-184,2019-04-27,13:35,LARCENY/ THEFT,Ward Hall,Rollins College,NA,NA
19-177,2019-04-24,14:30,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
19-175,2019-04-23,20:12,LARCENY/ THEFT,Alfond Sports Center,Rollins College,NA,NA
19-164,2019-04-16,10:56,LARCENY/ THEFT,McKean Hall,Rollins College,NA,NA
19-156,2019-04-09,12:06,TRESPASS,Campus Grounds,Rollins College,NA,NA
19-157,2019-04-09,11:01,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
19-149,2019-04-09,03:25,VANDALISM,Alfond Sports Center,Rollins College,NA,NA
19-155,2019-04-08,13:54,TRESPASS,Olin Library,Rollins College,NA,NA
19-145,2019-04-03,09:13,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
19-137,2019-03-31,02:40,"THEFT, MOTOR VEHICLE-OTHER",Campus Grounds,Rollins College,NA,NA
19-134,2019-03-28,14:40,"HARASSMENT, SEXUAL OR GENDER-BASED",Off Campus,Rollins College,NA,NA
19-130,2019-03-28,10:00,"HARASSMENT, SEXUAL OR GENDER-BASED",Campus Grounds,Rollins College,NA,NA
19-128,2019-03-27,00:51,FIRE ALARM - NO FIRE,Pinehurst Cottage,Rollins College,NA,NA
19-123,2019-03-20,09:27,LARCENY/ THEFT,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
19-121,2019-03-19,11:06,VANDALISM,Cornell Social Science/ CSS,Rollins College,NA,NA
19-113,2019-03-18,23:01,FIRE ALARM - NO FIRE,Ward Hall,Rollins College,NA,NA
19-120,2019-03-18,19:00,LARCENY/ THEFT,Olin Library,Rollins College,NA,NA
19-114,2019-03-18,00:22,"REFERRAL, DRUG",McKean Hall,Rollins College,NA,NA
19-112,2019-03-16,22:06,"REFERRAL, DRUG",McKean Hall,Rollins College,NA,NA
19-107,2019-03-15,16:40,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
19-105,2019-03-13,16:38,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
19-096,2019-03-06,10:10,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
19-092,2019-03-04,14:18,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
19-091,2019-03-03,11:16,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
19-087,2019-03-01,13:00,LARCENY/ THEFT,Ward Hall,Rollins College,NA,NA
19-086,2019-03-01,08:11,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
19-082,2019-02-28,13:21,FIRE ALARM - NO FIRE,Sutton Apartments,Rollins College,NA,NA
19-076,2019-02-27,02:47,FIRE ALARM - NO FIRE,"Winter Park Plaza, 330",Rollins College,NA,NA
19-074,2019-02-26,13:53,FIRE ALARM - NO FIRE,Cornell Fine Arts Center/ CFAC,Rollins College,NA,NA
19-073,2019-02-26,09:38,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
19-072,2019-02-26,02:56,FIRE ALARM - NO FIRE,Olin Library,Rollins College,NA,NA
19-071,2019-02-25,16:20,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
19-069,2019-02-23,17:18,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
19-068,2019-02-23,02:19,"REFERRAL, DRUG",Campus Grounds,Rollins College,NA,NA
19-067,2019-02-22,23:34,VANDALISM,Olin Library,Rollins College,NA,NA
19-061,2019-02-20,12:45,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
19-053,2019-02-14,07:36,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
19-052,2019-02-14,01:20,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
19-046,2019-02-11,17:00,FRAUD,Campus Grounds,Rollins College,NA,NA
19-043,2019-02-09,20:14,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
19-033,2019-02-03,23:15,POLICE ASSIST,SunTrust Garage,Rollins College,NA,NA
19-034,2019-02-03,08:45,FIRE ALARM - NO FIRE,Rice Family Pavilion,Rollins College,NA,NA
19-030,2019-02-03,00:01,"ASSAULT, SIMPLE",Elizabeth Hall,Rollins College,NA,NA
19-026,2019-01-31,14:51,FRAUD,Elizabeth Hall,Rollins College,NA,NA
19-022,2019-01-28,13:16,"HARASSMENT, SEXUAL OR GENDER-BASED",SunTrust Garage,Rollins College,NA,NA
19-020,2019-01-28,12:30,HARASSMENT,Sutton Apartments,Rollins College,NA,NA
19-019,2019-01-25,17:08,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
19-018,2019-01-25,10:15,HATE CRIME/ VANDALISM - PROPERTY DAMAGE,Ward Hall,Rollins College,NA,NA
19-017,2019-01-25,02:45,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
19-015,2019-01-25,00:00,HARASSMENT,Sutton Apartments,Rollins College,NA,NA
19-016,2019-01-23,16:35,"ARREST, DRUG",Pinehurst Cottage,Rollins College,NA,NA
19-014,2019-01-21,22:20,"BURGLARY, CONVEYANCE",SunTrust Garage,Rollins College,NA,NA
19-011,2019-01-17,21:40,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
19-009,2019-01-16,19:50,LARCENY/ THEFT,SunTrust Garage,Rollins College,NA,NA
19-005,2019-01-13,17:18,LARCENY/ THEFT,McKean Hall,Rollins College,NA,NA
19-004,2019-01-12,21:40,"REFERRAL, ALCOHOL",Pugsley Hall,Rollins College,NA,NA
19-002,2019-01-11,17:00,"BURGLARY, CONVEYANCE",SunTrust Garage,Rollins College,NA,NA
NA,NA,NA,NA,NA,Rollins College,NA,NA
18-484,2018-12-20,13:17,FIRE ALARM - NO FIRE,The Cottage,Rollins College,NA,NA
18-483,2018-12-20,08:05,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
18-479,2018-12-15,15:21,"REFERRAL, DRUG",Hooker Hall,Rollins College,NA,NA
18-477,2018-12-13,12:15,"REFERRAL, DRUG",Elizabeth Hall,Rollins College,NA,NA
18-469,2018-12-07,22:06,"REFERRAL, ALCOHOL",Ward Hall,Rollins College,NA,NA
18-470,2018-12-07,12:25,"REFERRAL, ALCOHOL",Ward Hall,Rollins College,NA,NA
18-468,2018-12-06,17:45,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
18-466,2018-12-05,15:15,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
18-464,2018-12-04,13:45,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-463,2018-12-04,01:15,TRESPASS,Strong Hall,Rollins College,NA,NA
18-461,2018-12-03,15:30,FALSE ID,Campus Grounds,Rollins College,NA,NA
18-459,2018-11-30,22:10,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
18-458,2018-11-30,16:30,HARASSMENT,Rice Family Pavilion,Rollins College,NA,NA
18-457,2018-11-30,15:20,"HARASSMENT, SEXUAL OR GENDER-BASED",Off Campus,Rollins College,NA,NA
18-454,2018-11-29,21:36,HARASSMENT,Campus Grounds,Rollins College,NA,NA
18-451,2018-11-29,11:08,FIRE ALARM - NO FIRE,Chase Hall,Rollins College,NA,NA
18-447,2018-11-28,09:21,INTIMIDATION,Campus Safety Office,Rollins College,NA,NA
18-446,2018-11-27,23:20,FIRE ALARM - NO FIRE,SunTrust Garage,Rollins College,NA,NA
18-445,2018-11-27,14:09,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-442,2018-11-27,13:00,"THEFT, MOTOR VEHICLE-OTHER",Ollie Ave.,Rollins College,NA,NA
18-444,2018-11-27,11:07,"BURGLARY, ATTEMPTED FORCIBLE ENTRY",Baseball/ Alfond Stadium/ Butler Bldg,Rollins College,NA,NA
18-441,2018-11-26,21:18,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
18-438,2018-11-21,09:30,POLICE ASSIST,Dinky Dock Park,Rollins College,NA,NA
18-435,2018-11-18,18:15,"BURGLARY, CONVEYANCE",SunTrust Garage,Rollins College,NA,NA
18-434,2018-11-18,16:03,"ASSAULT, AGGAVATED WITH HANDS/FISTS/FEET/TEETH",Public,Rollins College,NA,NA
18-429,2018-11-12,11:35,"HARASSMENT, SEXUAL OR GENDER-BASED",Chase Hall,Rollins College,NA,NA
18-425,2018-11-09,14:54,LARCENY/ THEFT,Elizabeth Hall,Rollins College,NA,NA
18-424,2018-11-09,11:46,"ASSAULT, SEXUAL - RAPE",Holt Hall,Rollins College,NA,NA
18-423,2018-11-09,07:18,LARCENY/ THEFT,422 W. Fairbanks Ave.,Rollins College,NA,NA
18-420,2018-11-08,11:50,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Cornell Social Science/ CSS,Rollins College,NA,NA
18-417,2018-11-07,10:38,HARASSMENT,Orlando Hall,Rollins College,NA,NA
18-408,2018-11-03,15:32,HARASSMENT,Bush Science Center,Rollins College,NA,NA
18-397,2018-10-30,13:30,HARASSMENT,Campus Grounds,Rollins College,NA,NA
18-392,2018-10-25,11:15,FIRE ALARM - NO FIRE,Pinehurst Cottage,Rollins College,NA,NA
18-387,2018-10-21,21:00,"REFERRAL, DRUG",McKean Hall,Rollins College,NA,NA
18-385,2018-10-18,21:00,"REFERRAL, DRUG",McKean Hall,Rollins College,NA,NA
18-381,2018-10-15,16:06,"ASSAULT, SEXUAL - RAPE",McKean Hall,Rollins College,NA,NA
18-380,2018-10-11,15:20,LARCENY/ THEFT,170 W. Fairbanks Bldg,Rollins College,NA,NA
18-375,2018-10-09,23:07,"REFERRAL, DRUG",Hooker Hall,Rollins College,NA,NA
18-374,2018-10-09,21:38,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
18-369,2018-10-08,10:32,LARCENY/ THEFT,Bush Science Center,Rollins College,NA,NA
18-366,2018-10-06,18:30,FIRE ALARM - NO FIRE,Lyman Hall,Rollins College,NA,NA
18-360,2018-10-03,11:10,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
18-359,2018-10-03,08:45,POLICE ASSIST,Campus Grounds,Rollins College,NA,NA
18-357,2018-10-02,12:00,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-353,2018-09-28,13:29,FIRE ALARM - NO FIRE,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
18-351,2018-09-27,20:18,FIRE ALARM - NO FIRE,SunTrust Plaza,Rollins College,NA,NA
18-350,2018-09-26,17:45,STALKING,Campus Grounds,Rollins College,NA,NA
18-343,2018-09-22,13:45,POLICE ASSIST,SunTrust Garage,Rollins College,NA,NA
18-340,2018-09-22,03:30,FIRE ALARM - NO FIRE,McKean Hall,Rollins College,NA,NA
18-339,2018-09-21,12:26,FIRE ALARM - NO FIRE,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
18-338,2018-09-20,12:36,LARCENY/ THEFT,Softball Stadium/ Lake Highland Park,Rollins College,NA,NA
18-332,2018-09-17,09:45,VANDALISM,Bush Science Center,Rollins College,NA,NA
18-331,2018-09-17,09:25,ARREST,Olin Library,Rollins College,NA,NA
18-328,2018-09-14,19:50,FIRE ALARM - NO FIRE,Corrin Hall,Rollins College,NA,NA
18-327,2018-09-14,14:00,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-329,2018-09-14,13:00,LARCENY/ THEFT,Holt Hall,Rollins College,NA,NA
18-324,2018-09-13,00:45,"THEFT, MOTOR VEHICLE-OTHER",Campus Grounds,Rollins College,NA,NA
18-323,2018-09-12,15:45,LARCENY/ THEFT,Baseball/ Alfond Stadium/ Butler Bldg,Rollins College,NA,NA
18-320,2018-09-12,13:04,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-319,2018-09-12,03:54,LARCENY/ THEFT,Sutton Apartments,Rollins College,NA,NA
18-313,2018-09-11,18:30,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-317,2018-09-11,15:20,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-315,2018-09-11,12:02,LARCENY/ THEFT,Baseball/ Alfond Stadium/ Butler Bldg,Rollins College,NA,NA
18-323,2018-09-11,11:00,LARCENY/ THEFT,Baseball/ Alfond Stadium/ Butler Bldg,Rollins College,NA,NA
18-314,2018-09-10,19:30,LARCENY/ THEFT,Olin Library,Rollins College,NA,NA
18-309,2018-09-05,12:30,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
18-302,2018-08-31,06:47,"THEFT, MOTOR VEHICLE-OTHER",Cornell Social Science/ CSS,Rollins College,NA,NA
18-298,2018-08-28,13:20,CYBER STALKING,Off Campus,Rollins College,NA,NA
18-292,2018-08-23,11:45,HAZMAT,Kathleen W. Rollins Hall,Rollins College,NA,NA
18-291,2018-08-21,22:29,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
18-285,2018-08-10,06:19,TRESPASS,422 W. Fairbanks Ave.,Rollins College,NA,NA
18-281,2018-08-03,09:05,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
18-279,2018-07-27,17:05,STALKING,Off Campus,Rollins College,NA,NA
18-274,2018-07-20,07:26,VANDALISM,Campus Grounds,Rollins College,NA,NA
18-271,2018-07-11,18:30,LARCENY/ THEFT,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
18-270,2018-07-11,11:22,FRAUD,Off Campus,Rollins College,NA,NA
18-265,2018-07-03,10:20,HAZMAT,Campus Grounds,Rollins College,NA,NA
18-261,2018-06-26,08:27,FIRE ALARM - NO FIRE,Beal Baker/ Shell Museum/ Environmental,Rollins College,NA,NA
18-260,2018-06-22,14:20,LARCENY/ THEFT,Off Campus,Rollins College,NA,NA
18-257,2018-06-19,09:24,FIRE ALARM - NO FIRE,Warden Costume Studio,Rollins College,NA,NA
18-256,2018-06-18,04:45,HAZMAT,Campus Grounds,Rollins College,NA,NA
18-254,2018-06-17,12:45,"BURGLARY, CONVEYANCE",Campus Grounds,Rollins College,NA,NA
18-253,2018-06-15,10:22,FIRE ALARM - NO FIRE,Lawrence Center,Rollins College,NA,NA
18-252,2018-06-14,14:25,"BURGLARY, FORCIBLE ENTRY",Campus Grounds,Rollins College,NA,NA
18-250,2018-06-13,08:50,"BURGLARY, CONVEYANCE",Campus Grounds,Rollins College,NA,NA
18-249,2018-06-12,13:16,ARREST,Campus Grounds,Rollins College,NA,NA
18-244,2018-06-05,07:00,"THEFT, MOTOR VEHICLE-OTHER",Campus Grounds,Rollins College,NA,NA
18-242,2018-06-04,10:38,FIRE ALARM - NO FIRE,"Winter Park Plaza, 330",Rollins College,NA,NA
18-240,2018-05-31,07:11,VANDALISM,Campus Grounds,Rollins College,NA,NA
18-235,2018-05-23,13:56,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-234,2018-05-23,11:43,HAZMAT,Campus Grounds,Rollins College,NA,NA
18-231,2018-05-20,18:49,FIRE ALARM - NO FIRE,Warden Costume Studio,Rollins College,NA,NA
18-229,2018-05-20,08:49,FIRE ALARM - NO FIRE,Warden Costume Studio,Rollins College,NA,NA
18-228,2018-05-19,19:00,LARCENY/ THEFT,Alfond Sports Center,Rollins College,NA,NA
18-227,2018-05-18,01:10,FIRE ALARM - NO FIRE,Alfond Sports Center,Rollins College,NA,NA
18-224,2018-05-14,15:26,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
18-221,2018-05-11,15:38,TRESPASS,Barker House,Rollins College,NA,NA
18-220,2018-05-09,11:19,POLICE ASSIST,Ward Hall,Rollins College,NA,NA
18-219,2018-05-09,10:44,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
18-217,2018-05-08,09:28,LARCENY/ THEFT,Sutton Apartments,Rollins College,NA,NA
18-215,2018-05-07,11:37,LARCENY/ THEFT,Hume House/CDC,Rollins College,NA,NA
18-203,2018-05-02,00:03,CRIMINAL MISCHIEF,Copeland Tennis Stadium,Rollins College,NA,NA
18-198,2018-04-29,23:00,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-185,2018-04-25,12:42,LARCENY/ THEFT,Rex Beach Hall,Rollins College,NA,NA
18-183,2018-04-23,23:40,FIRE ALARM - NO FIRE,Kathleen W. Rollins Hall,Rollins College,NA,NA
18-182,2018-04-21,15:05,"HARASSMENT, SEXUAL OR GENDER-BASED",Campus Center/ CCC/ Skillman,Rollins College,NA,NA
18-176,2018-04-17,16:15,LARCENY/ THEFT,Bush Science Center,Rollins College,NA,NA
18-174,2018-04-16,01:30,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-173,2018-04-15,20:46,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-169,2018-04-12,10:50,"THEFT, MOTOR VEHICLE-OTHER",Campus Grounds,Rollins College,NA,NA
18-164,2018-04-09,10:23,LARCENY/ THEFT,Bush Science Center,Rollins College,NA,NA
18-163,2018-04-08,23:20,TRESPASS,Elizabeth Hall,Rollins College,NA,NA
18-162,2018-04-08,15:55,DATING VIOLENCE,Campus Grounds,Rollins College,NA,NA
18-155,2018-04-05,10:55,"REFERRAL, DRUG",Strong Hall,Rollins College,NA,NA
18-153,2018-04-04,08:54,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
18-152,2018-04-03,11:42,"ARREST, DRUG",Sutton Apartments,Rollins College,NA,NA
18-150,2018-04-02,01:57,FIRE ALARM - NO FIRE,Strong Hall,Rollins College,NA,NA
18-149,2018-04-01,14:10,FIRE ALARM - NO FIRE,Elizabeth Hall,Rollins College,NA,NA
18-147,2018-04-01,10:45,FIRE ALARM - NO FIRE,Olin Library,Rollins College,NA,NA
18-146,2018-04-01,01:03,FIRE ALARM - NO FIRE,Elizabeth Hall,Rollins College,NA,NA
18-145,2018-03-29,19:13,"REFERRAL, DRUG",McKean Hall,Rollins College,NA,NA
18-144,2018-03-29,18:40,LARCENY/ THEFT,Alfond Sports Center,Rollins College,NA,NA
18-143,2018-03-29,15:05,FIRE ALARM - NO FIRE,Olin Library,Rollins College,NA,NA
18-138,2018-03-26,19:30,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-135,2018-03-24,13:10,"ASSAULT, AGGRAVATED WITH FIREARM",Off Campus,Rollins College,NA,NA
18-134,2018-03-23,12:12,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-132,2018-03-21,12:35,LARCENY/ THEFT,McKean Hall,Rollins College,NA,NA
18-127,2018-03-18,05:22,"THEFT, MOTOR VEHICLE-OTHER",Public,Rollins College,NA,NA
18-124,2018-03-13,14:12,FALSE ID,Off Campus,Rollins College,NA,NA
18-114,2018-03-07,14:21,HARASSMENT,Off Campus,Rollins College,NA,NA
18-112,2018-03-06,20:00,FALSE ID,Campus Grounds,Rollins College,NA,NA
18-110,2018-03-06,14:27,TRESPASS,Olin Library,Rollins College,NA,NA
18-103,2018-03-05,15:25,POLICE ASSIST,Campus Grounds,Rollins College,NA,NA
18-102,2018-03-03,18:45,LARCENY/ THEFT,Sutton Apartments,Rollins College,NA,NA
18-101,2018-03-03,08:30,FALSE ID,Off Campus,Rollins College,NA,NA
18-098,2018-03-02,22:15,FIRE ALARM - NO FIRE,"Winter Park Plaza, 330",Rollins College,NA,NA
18-090,2018-02-26,18:45,"BURGLARY, CONVEYANCE",Campus Grounds,Rollins College,NA,NA
18-080,2018-02-22,08:35,FRAUD,Rex Beach Hall,Rollins College,NA,NA
18-078,2018-02-21,16:05,LARCENY/ THEFT,Cornell Social Science/ CSS,Rollins College,NA,NA
18-072,2018-02-17,17:33,FIRE ALARM - NO FIRE,Sutton Apartments,Rollins College,NA,NA
18-068,2018-02-16,05:00,"ASSAULT, SIMPLE",Pugsley Hall,Rollins College,NA,NA
18-067,2018-02-15,09:30,LARCENY/ THEFT,Rex Beach Hall,Rollins College,NA,NA
18-065,2018-02-14,16:55,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-061,2018-02-12,13:07,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-060,2018-02-12,12:55,FALSE ID,Off Campus,Rollins College,NA,NA
18-059,2018-02-12,12:35,FIRE ALARM - NO FIRE,Pioneer Building,Rollins College,NA,NA
18-058,2018-02-09,18:47,FIRE ALARM - NO FIRE,SunTrust Garage,Rollins College,NA,NA
18-052,2018-02-06,11:08,FRAUD,Rice Family Pavilion,Rollins College,NA,NA
18-048,2018-02-02,11:19,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-045,2018-01-30,11:26,"REFERRAL, DRUG",McKean Hall,Rollins College,NA,NA
18-043,2018-01-29,16:27,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-037,2018-01-24,07:33,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-033,2018-01-23,14:30,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
18-032,2018-01-22,10:15,VANDALISM,SunTrust Garage,Rollins College,NA,NA
18-028,2018-01-20,09:30,FRAUD,Campus Grounds,Rollins College,NA,NA
18-027,2018-01-18,20:11,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
18-026,2018-01-18,12:41,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
18-025,2018-01-18,10:00,FIRE ALARM - NO FIRE,Baseball/ Alfond Stadium/ Butler Bldg,Rollins College,NA,NA
18-019,2018-01-14,00:40,FIRE ALARM - NO FIRE,Pinehurst Cottage,Rollins College,NA,NA
18-018,2018-01-13,01:04,LARCENY/ THEFT,Hooker Hall,Rollins College,NA,NA
18-011,2018-01-10,11:08,FIRE ALARM - NO FIRE,Keene Music,Rollins College,NA,NA
18-006,2018-01-06,06:05,FIRE ALARM - NO FIRE,Hauck Hall,Rollins College,NA,NA
18-005,2018-01-05,22:41,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
18-004,2018-01-05,10:14,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
18-003,2018-01-04,15:45,"REFERRAL, ALCOHOL",Wellness Center,Rollins College,NA,NA
18-001,2018-01-03,07:58,FIRE ALARM - NO FIRE,Chase Hall,Rollins College,NA,NA
NA,NA,NA,NA,NA,Rollins College,NA,NA
17-454,2017-12-26,16:40,VANDALISM,SunTrust Garage,Rollins College,NA,NA
17-453,2017-12-21,22:00,CRIMINAL MISCHIEF,SunTrust Garage,Rollins College,NA,NA
17-449,2017-12-13,23:15,"ASSAULT, SEXUAL - FONDLING",Off Campus,Rollins College,NA,NA
17-447,2017-12-11,10:53,LARCENY/ THEFT,Cornell Fine Arts Center/ CFAC,Rollins College,NA,NA
17-446,2017-12-10,06:16,FIRE ALARM - NO FIRE,Hauck Hall,Rollins College,NA,NA
17-444,2017-12-09,07:23,VANDALISM,McKean Hall,Rollins College,NA,NA
17-443,2017-12-08,12:20,FALSE ID,Campus Safety Office,Rollins College,NA,NA
17-441,2017-12-07,18:12,FIRE ALARM - NO FIRE,Elizabeth Hall,Rollins College,NA,NA
17-440,2017-12-06,09:20,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
17-436,2017-12-01,13:00,FALSE ID,Campus Safety Office,Rollins College,NA,NA
